variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,stop_pts,stopped_%,t_stat,trades,win_rate_%
fade/fixed_1r/$50,13.11,0.262,-57.48,42.52,6,fade,0.0,fixed_1r,13.11,-114.96,222.84,1.78,50.0,45.56,5.0,29.4,1.19,17,70.6
fade/fixed_1r/$100,19.47,0.195,-90.1,92.52,6,fade,6.7,fixed_1r,19.47,-218.14,292.1,1.54,100.0,92.78,10.0,33.3,0.81,15,60.0
fade/fixed_1r/$150,62.18,0.415,-100.48,127.24,6,fade,28.6,fixed_1r,62.18,-160.66,870.48,3.17,150.0,111.41,15.0,14.3,2.09,14,71.4
fade/fixed_1r/$250,18.96,0.076,-125.02,162.94,6,fade,50.0,fixed_1r,18.96,-331.62,189.6,1.3,250.0,178.6,25.0,20.0,0.34,10,50.0
fade/fixed_2r/$50,20.91,0.418,-50.69,92.52,6,fade,6.2,fixed_2r,20.91,-175.62,334.62,1.83,50.0,72.72,5.0,43.8,1.15,16,50.0
fade/fixed_2r/$100,44.89,0.449,-86.15,157.21,6,fade,30.8,fixed_2r,44.89,-218.14,583.56,2.13,100.0,130.67,10.0,30.8,1.24,13,53.8
fade/fixed_2r/$150,11.12,0.074,-93.5,168.04,6,fade,50.0,fixed_2r,11.12,-392.28,111.2,1.2,150.0,160.38,15.0,30.0,0.22,10,40.0
fade/fixed_2r/$250,9.48,0.038,-107.4,301.67,6,fade,85.7,fixed_2r,9.48,-279.52,66.34,1.12,250.0,201.65,25.0,14.3,0.12,7,28.6
fade/fixed_3r/$50,10.03,0.201,-52.05,113.49,6,fade,25.0,fixed_3r,10.03,-201.1,160.42,1.31,50.0,83.86,5.0,56.2,0.48,16,37.5
fade/fixed_3r/$100,3.85,0.039,-78.24,168.04,6,fade,41.7,fixed_3r,3.85,-399.76,46.24,1.07,100.0,141.9,10.0,41.7,0.09,12,33.3
fade/fixed_3r/$150,5.95,0.04,-93.5,204.85,6,fade,66.7,fixed_3r,5.95,-392.28,53.58,1.1,150.0,171.23,15.0,33.3,0.1,9,33.3
fade/fixed_3r/$250,9.48,0.038,-107.4,301.67,6,fade,85.7,fixed_3r,9.48,-279.52,66.34,1.12,250.0,201.65,25.0,14.3,0.12,7,28.6
fade/scale_be/$50,5.63,0.113,-57.48,40.05,6,fade,11.8,scale_be,5.63,-172.44,95.64,1.28,50.0,54.23,5.0,70.6,0.43,17,64.7
fade/scale_be/$100,11.92,0.119,-86.62,66.66,6,fade,21.4,scale_be,11.92,-218.14,166.83,1.39,100.0,86.86,10.0,71.4,0.51,14,64.3
fade/scale_be/$150,36.13,0.241,-100.48,114.2,6,fade,54.5,scale_be,36.13,-160.66,397.47,1.99,150.0,121.14,15.0,45.5,0.99,11,63.6
fade/scale_be/$250,50.08,0.2,-91.91,192.06,6,fade,75.0,scale_be,50.08,-257.48,400.61,2.09,250.0,168.54,25.0,25.0,0.84,8,50.0
fade/ratchet/$50,10.04,0.201,-57.48,46.87,6,fade,11.8,ratchet,10.04,-172.44,170.64,1.49,50.0,56.0,5.0,70.6,0.74,17,64.7
fade/ratchet/$100,27.29,0.273,-86.62,90.58,6,fade,21.4,ratchet,27.29,-218.14,382.08,1.88,100.0,98.0,10.0,71.4,1.04,14,64.3
fade/ratchet/$150,36.13,0.241,-100.48,114.2,6,fade,54.5,ratchet,36.13,-160.66,397.47,1.99,150.0,121.14,15.0,45.5,0.99,11,63.6
fade/ratchet/$250,50.08,0.2,-91.91,192.06,6,fade,75.0,ratchet,50.08,-257.48,400.61,2.09,250.0,168.54,25.0,25.0,0.84,8,50.0
momentum/fixed_1r/$50,-22.19,-0.444,-57.48,42.52,6,momentum,0.0,fixed_1r,-22.19,-377.16,-377.16,0.4,50.0,47.79,5.0,64.7,-1.91,17,35.3
momentum/fixed_1r/$100,17.43,0.174,-90.1,89.12,6,momentum,13.3,fixed_1r,17.43,-125.62,261.5,1.48,100.0,91.48,10.0,33.3,0.74,15,60.0
momentum/fixed_1r/$150,62.18,0.415,-100.48,127.24,6,momentum,28.6,fixed_1r,62.18,-157.48,870.48,3.17,150.0,111.41,15.0,14.3,2.09,14,71.4
momentum/fixed_1r/$250,2.0,0.008,-119.56,184.35,6,momentum,50.0,fixed_1r,2.0,-369.02,20.0,1.03,250.0,180.29,25.0,20.0,0.04,10,40.0
momentum/fixed_2r/$50,-16.59,-0.332,-52.95,92.52,6,momentum,6.2,fixed_2r,-16.59,-265.38,-265.38,0.58,50.0,64.32,5.0,68.8,-1.03,16,25.0
momentum/fixed_2r/$100,53.86,0.539,-86.15,173.86,6,momentum,23.1,fixed_2r,53.86,-110.66,700.16,2.35,100.0,136.37,10.0,30.8,1.42,13,53.8
momentum/fixed_2r/$150,-22.31,-0.149,-105.03,198.29,6,momentum,45.5,fixed_2r,-22.31,-672.94,-245.38,0.71,150.0,161.15,15.0,36.4,-0.46,11,27.3
momentum/fixed_2r/$250,14.42,0.058,-128.05,204.39,6,momentum,85.7,fixed_2r,14.42,-257.48,100.94,1.2,250.0,201.17,25.0,14.3,0.19,7,42.9
momentum/fixed_3r/$50,-21.1,-0.422,-53.3,118.45,6,momentum,12.5,fixed_3r,-21.1,-520.5,-337.58,0.51,50.0,69.87,5.0,75.0,-1.21,16,18.8
momentum/fixed_3r/$100,-12.31,-0.123,-91.28,198.29,6,momentum,27.3,fixed_3r,-12.31,-505.46,-135.38,0.81,100.0,149.51,10.0,54.5,-0.27,11,27.3
momentum/fixed_3r/$150,-6.81,-0.045,-112.41,204.39,6,momentum,66.7,fixed_3r,-6.81,-517.0,-61.32,0.91,150.0,175.55,15.0,33.3,-0.12,9,33.3
momentum/fixed_3r/$250,14.42,0.058,-128.05,204.39,6,momentum,85.7,fixed_3r,14.42,-257.48,100.94,1.2,250.0,201.17,25.0,14.3,0.19,7,42.9
momentum/scale_be/$50,-12.02,-0.24,-57.48,52.92,6,momentum,11.8,scale_be,-12.02,-273.38,-204.36,0.64,50.0,59.44,5.0,70.6,-0.83,17,41.2
momentum/scale_be/$100,7.45,0.075,-90.14,61.67,6,momentum,21.4,scale_be,7.45,-128.26,104.33,1.23,100.0,84.38,10.0,71.4,0.33,14,64.3
momentum/scale_be/$150,-11.66,-0.078,-115.61,92.29,6,momentum,41.7,scale_be,-11.66,-314.96,-139.96,0.8,150.0,116.36,15.0,58.3,-0.35,12,50.0
momentum/scale_be/$250,54.4,0.218,-114.28,155.61,6,momentum,75.0,scale_be,54.4,-257.48,435.21,2.27,250.0,167.01,25.0,25.0,0.92,8,62.5
momentum/ratchet/$50,-10.55,-0.211,-57.48,56.49,6,momentum,11.8,ratchet,-10.55,-248.38,-179.36,0.69,50.0,60.45,5.0,70.6,-0.72,17,41.2
momentum/ratchet/$100,27.66,0.277,-86.62,91.14,6,momentum,21.4,ratchet,27.66,-110.66,387.18,1.89,100.0,97.59,10.0,71.4,1.06,14,64.3
momentum/ratchet/$150,-11.66,-0.078,-115.61,92.29,6,momentum,41.7,ratchet,-11.66,-314.96,-139.96,0.8,150.0,116.36,15.0,58.3,-0.35,12,50.0
momentum/ratchet/$250,54.4,0.218,-114.28,155.61,6,momentum,75.0,ratchet,54.4,-257.48,435.21,2.27,250.0,167.01,25.0,25.0,0.92,8,62.5
long/fixed_1r/$50,1.34,0.027,-57.48,42.52,6,long,0.0,fixed_1r,1.34,-187.4,22.84,1.06,50.0,49.22,5.0,41.2,0.11,17,58.8
long/fixed_1r/$100,-20.53,-0.205,-95.89,92.52,6,long,6.7,fixed_1r,-20.53,-492.94,-307.9,0.64,100.0,95.73,10.0,53.3,-0.83,15,40.0
long/fixed_1r/$150,-34.07,-0.227,-138.19,104.77,6,long,28.6,fixed_1r,-34.07,-790.58,-476.92,0.57,150.0,128.68,15.0,50.0,-0.99,14,42.9
long/fixed_1r/$250,-37.38,-0.15,-132.52,184.62,6,long,50.0,fixed_1r,-37.38,-645.58,-373.8,0.6,250.0,178.05,25.0,30.0,-0.66,10,30.0
long/fixed_2r/$50,2.16,0.043,-52.05,92.52,6,long,6.2,fixed_2r,2.16,-370.5,34.62,1.07,50.0,71.16,5.0,56.2,0.12,16,37.5
long/fixed_2r/$100,-3.47,-0.035,-95.89,135.15,6,long,33.3,fixed_2r,-3.47,-540.58,-52.1,0.94,100.0,119.67,10.0,53.3,-0.11,15,40.0
long/fixed_2r/$150,-41.45,-0.276,-140.34,181.04,6,long,23.1,fixed_2r,-41.45,-813.02,-538.84,0.57,150.0,165.69,15.0,61.5,-0.9,13,30.8
long/fixed_2r/$250,-25.22,-0.101,-150.25,224.82,6,long,66.7,fixed_2r,-25.22,-630.62,-227.02,0.75,250.0,208.45,25.0,33.3,-0.36,9,33.3
long/fixed_3r/$50,-22.96,-0.459,-53.3,108.52,6,long,18.8,fixed_3r,-22.96,-488.5,-367.38,0.47,50.0,66.16,5.0,75.0,-1.39,16,18.8
long/fixed_3r/$100,-9.14,-0.091,-97.05,210.62,6,long,21.4,fixed_3r,-9.14,-540.58,-128.02,0.87,100.0,148.13,10.0,64.3,-0.23,14,28.6
long/fixed_3r/$150,-26.51,-0.177,-138.19,196.87,6,long,41.7,fixed_3r,-26.51,-790.58,-318.06,0.71,150.0,179.88,15.0,58.3,-0.51,12,33.3
long/fixed_3r/$250,-25.22,-0.101,-150.25,224.82,6,long,66.7,fixed_3r,-25.22,-630.62,-227.02,0.75,250.0,208.45,25.0,33.3,-0.36,9,33.3
long/scale_be/$50,-10.53,-0.211,-57.48,22.34,6,long,11.8,scale_be,-10.53,-330.86,-178.96,0.56,50.0,42.28,5.0,88.2,-1.03,17,58.8
long/scale_be/$100,-21.45,-0.214,-95.89,90.22,6,long,20.0,scale_be,-21.45,-563.02,-321.7,0.63,100.0,100.84,10.0,73.3,-0.82,15,40.0
long/scale_be/$150,-41.64,-0.278,-138.19,151.46,6,long,41.7,scale_be,-41.64,-790.58,-499.71,0.55,150.0,150.61,15.0,58.3,-0.96,12,33.3
long/scale_be/$250,-31.92,-0.128,-150.25,204.72,6,long,66.7,scale_be,-31.92,-630.62,-287.32,0.68,250.0,197.87,25.0,33.3,-0.48,9,33.3
long/ratchet/$50,-9.9,-0.198,-57.48,23.41,6,long,5.9,ratchet,-9.9,-305.86,-168.26,0.58,50.0,41.11,5.0,94.1,-0.99,17,58.8
long/ratchet/$100,-21.45,-0.214,-95.89,90.22,6,long,20.0,ratchet,-21.45,-563.02,-321.7,0.63,100.0,100.84,10.0,73.3,-0.82,15,40.0
long/ratchet/$150,-41.64,-0.278,-138.19,151.46,6,long,41.7,ratchet,-41.64,-790.58,-499.71,0.55,150.0,150.61,15.0,58.3,-0.96,12,33.3
long/ratchet/$250,-31.92,-0.128,-150.25,204.72,6,long,66.7,ratchet,-31.92,-630.62,-287.32,0.68,250.0,197.87,25.0,33.3,-0.48,9,33.3
