variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,stop_pts,stopped_%,t_stat,trades,win_rate_%
fade/fixed_1r/$50,-23.29,-0.466,-57.48,41.89,31,fade,1.1,fixed_1r,-23.29,-2208.16,-2165.64,0.38,50.0,47.25,5.0,65.6,-4.75,93,34.4
fade/fixed_1r/$100,-17.45,-0.175,-104.71,82.58,31,fade,10.2,fixed_1r,-17.45,-1831.5,-1535.74,0.69,100.0,95.35,10.0,50.0,-1.72,88,46.6
fade/fixed_1r/$150,8.77,0.058,-133.14,118.43,31,fade,21.8,fixed_1r,8.77,-789.16,684.06,1.15,150.0,133.28,15.0,33.3,0.58,78,56.4
fade/fixed_1r/$250,-5.61,-0.022,-168.19,156.98,31,fade,39.3,fixed_1r,-5.61,-1319.44,-313.88,0.93,250.0,195.08,25.0,28.6,-0.22,56,50.0
fade/fixed_2r/$50,-19.07,-0.381,-57.48,85.42,31,fade,3.2,fixed_2r,-19.07,-1855.82,-1773.14,0.55,50.0,64.21,5.0,73.1,-2.86,93,26.9
fade/fixed_2r/$100,2.27,0.023,-99.66,143.18,31,fade,19.8,fixed_2r,2.27,-1359.06,184.12,1.04,100.0,130.06,10.0,51.9,0.16,81,42.0
fade/fixed_2r/$150,-8.65,-0.058,-131.62,150.76,31,fade,41.9,fixed_2r,-8.65,-1734.26,-536.26,0.88,150.0,163.49,15.0,43.5,-0.42,62,43.5
fade/fixed_2r/$250,-36.18,-0.145,-173.87,159.49,31,fade,60.9,fixed_2r,-36.18,-2311.66,-1664.08,0.65,250.0,208.68,25.0,32.6,-1.18,46,41.3
fade/fixed_3r/$50,-11.04,-0.221,-57.48,128.28,31,fade,3.3,fixed_3r,-11.04,-1329.08,-1015.66,0.74,50.0,82.57,5.0,75.0,-1.28,92,25.0
fade/fixed_3r/$100,-9.98,-0.1,-102.8,157.81,31,fade,28.8,fixed_3r,-9.98,-1906.68,-728.54,0.85,100.0,142.44,10.0,58.9,-0.6,73,35.6
fade/fixed_3r/$150,-16.0,-0.107,-135.51,135.69,31,fade,47.5,fixed_3r,-16.0,-1701.8,-943.82,0.79,150.0,165.97,15.0,45.8,-0.74,59,44.1
fade/fixed_3r/$250,-31.0,-0.124,-184.18,170.55,31,fade,61.4,fixed_3r,-31.0,-1979.18,-1364.12,0.7,250.0,227.89,25.0,34.1,-0.9,44,43.2
fade/scale_be/$50,-18.3,-0.366,-57.48,45.52,31,fade,1.1,scale_be,-18.3,-1950.88,-1683.16,0.49,50.0,54.75,5.0,84.8,-3.21,92,38.0
fade/scale_be/$100,-5.88,-0.059,-103.67,87.25,31,fade,20.7,scale_be,-5.88,-1302.83,-482.11,0.88,100.0,106.39,10.0,68.3,-0.5,82,51.2
fade/scale_be/$150,3.91,0.026,-143.15,104.53,31,fade,40.6,scale_be,3.91,-1023.09,250.03,1.07,150.0,135.53,15.0,54.7,0.23,64,59.4
fade/scale_be/$250,-0.94,-0.004,-181.53,144.92,31,fade,59.6,scale_be,-0.94,-1313.27,-44.06,0.99,250.0,199.17,25.0,36.2,-0.03,47,55.3
fade/ratchet/$50,-19.79,-0.396,-57.48,45.61,31,fade,1.1,ratchet,-19.79,-2133.36,-1840.64,0.46,50.0,53.62,5.0,87.1,-3.56,93,36.6
fade/ratchet/$100,-6.17,-0.062,-103.85,93.89,31,fade,16.9,ratchet,-6.17,-1361.54,-512.09,0.88,100.0,108.49,10.0,72.3,-0.52,83,49.4
fade/ratchet/$150,3.96,0.026,-139.61,105.97,31,fade,40.0,ratchet,3.96,-1023.09,257.55,1.07,150.0,135.16,15.0,55.4,0.24,65,58.5
fade/ratchet/$250,-0.94,-0.004,-181.53,144.92,31,fade,59.6,ratchet,-0.94,-1313.27,-44.06,0.99,250.0,199.17,25.0,36.2,-0.03,47,55.3
momentum/fixed_1r/$50,-22.21,-0.444,-57.48,41.91,31,momentum,1.1,fixed_1r,-22.21,-2160.92,-2065.64,0.4,50.0,47.6,5.0,64.5,-4.5,93,35.5
momentum/fixed_1r/$100,-28.42,-0.284,-102.48,83.73,31,momentum,11.4,fixed_1r,-28.42,-2578.3,-2500.74,0.54,100.0,93.21,10.0,54.5,-2.86,88,39.8
momentum/fixed_1r/$150,-23.6,-0.157,-132.14,116.86,31,momentum,23.1,fixed_1r,-23.6,-1993.64,-1840.94,0.68,150.0,132.26,15.0,42.3,-1.58,78,43.6
momentum/fixed_1r/$250,-21.45,-0.086,-176.88,145.48,31,momentum,41.1,fixed_1r,-21.45,-1214.72,-1201.38,0.77,250.0,192.43,25.0,30.4,-0.83,56,48.2
momentum/fixed_2r/$50,-19.42,-0.388,-57.48,84.12,31,momentum,3.2,fixed_2r,-19.42,-1945.8,-1805.64,0.54,50.0,63.89,5.0,73.1,-2.93,93,26.9
momentum/fixed_2r/$100,-24.56,-0.246,-100.47,132.89,31,momentum,20.5,fixed_2r,-24.56,-2143.4,-2038.34,0.64,100.0,119.48,10.0,59.0,-1.87,83,32.5
momentum/fixed_2r/$150,-30.21,-0.201,-133.06,130.22,31,momentum,42.2,fixed_2r,-30.21,-2486.4,-1933.72,0.63,150.0,152.95,15.0,46.9,-1.58,64,39.1
momentum/fixed_2r/$250,-45.88,-0.184,-178.22,132.77,31,momentum,63.8,fixed_2r,-45.88,-2156.56,-2156.56,0.55,250.0,192.91,25.0,31.9,-1.63,47,42.6
momentum/fixed_3r/$50,-16.19,-0.324,-57.48,125.38,31,momentum,3.2,fixed_3r,-16.19,-1590.68,-1505.64,0.64,50.0,79.03,5.0,77.4,-1.98,93,22.6
momentum/fixed_3r/$100,-36.38,-0.364,-101.73,149.89,31,momentum,24.7,fixed_3r,-36.38,-3053.7,-2800.96,0.52,100.0,127.64,10.0,66.2,-2.5,77,26.0
momentum/fixed_3r/$150,-27.65,-0.184,-136.69,131.37,31,momentum,47.5,fixed_3r,-27.65,-1963.96,-1631.32,0.66,150.0,159.71,15.0,47.5,-1.33,59,40.7
momentum/fixed_3r/$250,-48.6,-0.194,-181.05,146.6,31,momentum,61.7,fixed_3r,-48.6,-2284.06,-2284.06,0.55,250.0,211.26,25.0,34.0,-1.58,47,40.4
momentum/scale_be/$50,-20.33,-0.407,-57.48,35.9,31,momentum,1.1,scale_be,-20.33,-2043.4,-1890.64,0.41,50.0,49.99,5.0,89.2,-3.92,93,39.8
momentum/scale_be/$100,-23.01,-0.23,-101.68,82.63,31,momentum,20.7,scale_be,-23.01,-1984.89,-1887.11,0.61,100.0,101.34,10.0,70.7,-2.06,82,42.7
momentum/scale_be/$150,-8.71,-0.058,-136.98,104.47,31,momentum,40.6,scale_be,-8.71,-1010.23,-557.47,0.86,150.0,135.24,15.0,54.7,-0.52,64,53.1
momentum/scale_be/$250,-27.25,-0.109,-185.92,125.07,31,momentum,59.2,scale_be,-27.25,-1505.45,-1335.27,0.7,250.0,191.33,25.0,36.7,-1.0,49,51.0
momentum/ratchet/$50,-18.99,-0.38,-57.48,39.28,31,momentum,1.1,ratchet,-18.99,-1918.4,-1765.64,0.45,50.0,51.31,5.0,89.2,-3.57,93,39.8
momentum/ratchet/$100,-20.32,-0.203,-101.8,94.73,31,momentum,18.3,ratchet,-20.32,-1783.74,-1665.86,0.66,100.0,106.14,10.0,72.0,-1.73,82,41.5
momentum/ratchet/$150,-9.44,-0.063,-134.09,104.21,31,momentum,38.5,ratchet,-9.44,-998.98,-613.7,0.85,150.0,134.1,15.0,56.9,-0.57,65,52.3
momentum/ratchet/$250,-27.25,-0.109,-185.92,125.07,31,momentum,59.2,ratchet,-27.25,-1505.45,-1335.27,0.7,250.0,191.33,25.0,36.7,-1.0,49,51.0
long/fixed_1r/$50,-14.25,-0.285,-57.1,42.52,31,long,1.1,fixed_1r,-14.25,-1395.72,-1325.64,0.56,50.0,49.37,5.0,55.9,-2.78,93,43.0
long/fixed_1r/$100,-18.25,-0.182,-101.46,86.3,31,long,10.2,fixed_1r,-18.25,-1793.38,-1605.74,0.68,100.0,95.26,10.0,50.0,-1.8,88,44.3
long/fixed_1r/$150,-17.32,-0.115,-133.55,118.28,31,long,21.8,fixed_1r,-17.32,-1966.64,-1350.94,0.76,150.0,133.9,15.0,41.0,-1.14,78,46.2
long/fixed_1r/$250,-25.52,-0.102,-182.05,142.61,31,long,39.3,fixed_1r,-25.52,-2696.88,-1428.88,0.73,250.0,194.25,25.0,32.1,-0.98,56,48.2
long/fixed_2r/$50,-14.09,-0.282,-57.18,91.22,31,long,2.2,fixed_2r,-14.09,-1520.88,-1310.64,0.65,50.0,67.49,5.0,69.9,-2.01,93,29.0
long/fixed_2r/$100,-14.17,-0.142,-96.18,138.15,31,long,22.5,fixed_2r,-14.17,-2231.62,-1133.4,0.77,100.0,122.03,10.0,53.8,-1.04,80,35.0
long/fixed_2r/$150,-23.98,-0.16,-127.35,141.42,31,long,43.1,fixed_2r,-23.98,-3056.78,-1558.7,0.69,150.0,154.98,15.0,43.1,-1.25,65,38.5
