variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,stop_pts,stopped_%,t_stat,trades,win_rate_%
fade/fixed_1r/$50,-11.05,-0.221,-55.55,41.76,60,fade,3.7,fixed_1r,-11.05,-1896.86,-1811.82,0.63,50.0,49.01,5.0,51.2,-2.89,164,45.7
fade/fixed_1r/$100,-3.34,-0.033,-95.62,85.25,60,fade,12.9,fixed_1r,-3.34,-1594.76,-490.76,0.93,100.0,93.67,10.0,39.5,-0.43,147,51.0
fade/fixed_1r/$150,5.41,0.036,-120.3,116.55,60,fade,26.9,fixed_1r,5.41,-1735.74,703.5,1.1,150.0,128.94,15.0,31.5,0.48,130,53.1
fade/fixed_1r/$250,9.83,0.039,-152.81,156.2,60,fade,47.4,fixed_1r,9.83,-2203.92,933.7,1.14,250.0,183.68,25.0,23.2,0.52,95,52.6
fade/fixed_2r/$50,-1.45,-0.029,-54.88,85.27,60,fade,8.8,fixed_2r,-1.45,-909.98,-231.6,0.96,50.0,69.7,5.0,56.9,-0.26,160,38.1
fade/fixed_2r/$100,8.89,0.089,-93.53,136.47,60,fade,26.6,fixed_2r,8.89,-1395.46,1138.16,1.17,100.0,126.34,10.0,44.5,0.8,128,44.5
fade/fixed_2r/$150,0.97,0.006,-125.54,163.23,60,fade,40.0,fixed_2r,0.97,-1854.34,101.8,1.01,150.0,165.87,15.0,41.0,0.06,105,43.8
fade/fixed_2r/$250,13.69,0.055,-163.93,204.31,60,fade,60.0,fixed_2r,13.69,-2259.24,1163.8,1.16,250.0,226.45,25.0,27.1,0.56,85,48.2
fade/fixed_3r/$50,6.38,0.128,-54.71,119.66,60,fade,12.7,fixed_3r,6.38,-908.22,1001.54,1.18,50.0,87.46,5.0,59.2,0.91,157,35.0
fade/fixed_3r/$100,3.31,0.033,-96.27,160.42,60,fade,32.8,fixed_3r,3.31,-1771.8,384.12,1.06,100.0,144.14,10.0,50.9,0.25,116,38.8
fade/fixed_3r/$150,-3.57,-0.024,-127.95,167.09,60,fade,46.1,fixed_3r,-3.57,-2102.66,-364.26,0.95,150.0,175.2,15.0,43.1,-0.21,102,42.2
fade/fixed_3r/$250,20.33,0.081,-166.24,206.9,60,fade,65.0,fixed_3r,20.33,-2222.56,1626.4,1.24,250.0,234.59,25.0,26.2,0.78,80,50.0
fade/scale_be/$50,-2.19,-0.044,-54.86,57.6,60,fade,9.5,scale_be,-2.19,-792.36,-345.74,0.92,50.0,61.64,5.0,66.5,-0.45,158,46.8
fade/scale_be/$100,0.32,0.003,-95.52,96.15,60,fade,28.2,scale_be,0.32,-1364.16,39.53,1.01,100.0,107.92,10.0,57.3,0.03,124,50.0
fade/scale_be/$150,-1.07,-0.007,-122.19,122.3,60,fade,42.2,scale_be,-1.07,-1878.27,-116.37,0.98,150.0,139.92,15.0,48.6,-0.08,109,49.5
fade/scale_be/$250,15.81,0.063,-164.4,183.14,60,fade,64.2,scale_be,15.81,-2211.36,1280.42,1.2,250.0,207.43,25.0,27.2,0.69,81,51.9
