variant,avg_$,avg_R,avg_loss_$,avg_win_$,confirm,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
[from_above]fade+confirm/fixed_1r/$50,-4.89,-0.098,-54.21,42.03,reversal,31,fade,5.0,fixed_1r,-4.89,-1242.44,-781.8,0.82,50.0,48.85,from_above,5.0,44.4,-1.27,160,band,51.2
[from_above]fade+confirm/fixed_1r/$100,8.93,0.089,-86.86,79.88,reversal,31,fade,24.5,fixed_1r,8.93,-742.34,839.38,1.24,100.0,87.75,from_above,10.0,28.7,0.99,94,band,57.4
[from_above]fade+confirm/fixed_1r/$150,17.24,0.115,-115.76,106.94,reversal,31,fade,33.3,fixed_1r,17.24,-599.62,1241.44,1.37,150.0,122.32,from_above,15.0,26.4,1.2,72,band,59.7
[from_above]fade+confirm/fixed_1r/$250,23.12,0.092,-128.84,142.52,reversal,31,fade,56.0,fixed_1r,23.12,-796.94,1156.0,1.41,250.0,168.34,from_above,25.0,14.0,0.97,50,band,56.0
[from_above]fade+confirm/fixed_2r/$50,-3.43,-0.069,-54.07,84.64,reversal,31,fade,11.1,fixed_2r,-3.43,-1141.74,-432.48,0.9,50.0,68.64,from_above,5.0,57.9,-0.56,126,band,36.5
[from_above]fade+confirm/fixed_2r/$100,9.25,0.093,-89.92,122.59,reversal,31,fade,34.7,fixed_2r,9.25,-944.08,694.0,1.19,100.0,121.16,from_above,10.0,40.0,0.66,75,band,46.7
[from_above]fade+confirm/fixed_2r/$150,20.02,0.133,-128.16,132.43,reversal,31,fade,51.0,fixed_2r,20.02,-919.32,1021.02,1.36,150.0,158.43,from_above,15.0,31.4,0.9,51,band,56.9
[from_above]fade+confirm/fixed_2r/$250,0.7,0.003,-150.26,143.7,reversal,31,fade,75.7,fixed_2r,0.7,-967.0,25.74,1.01,250.0,188.91,from_above,25.0,18.9,0.02,37,band,51.4
[from_above]fade+confirm/fixed_3r/$50,-1.47,-0.029,-53.08,115.02,reversal,31,fade,17.5,fixed_3r,-1.47,-1086.14,-167.72,0.96,50.0,81.99,from_above,5.0,61.4,-0.19,114,band,30.7
[from_above]fade+confirm/fixed_3r/$100,16.46,0.165,-96.31,133.12,reversal,31,fade,42.4,fixed_3r,16.46,-954.26,971.18,1.34,100.0,140.56,from_above,10.0,42.4,0.9,59,band,49.2
[from_above]fade+confirm/fixed_3r/$150,18.5,0.123,-122.0,136.52,reversal,31,fade,60.9,fixed_3r,18.5,-786.84,850.92,1.33,150.0,164.24,from_above,15.0,32.6,0.76,46,band,54.3
[from_above]fade+confirm/fixed_3r/$250,17.52,0.07,-138.22,156.86,reversal,31,fade,77.8,fixed_3r,17.52,-704.76,630.72,1.27,250.0,206.49,from_above,25.0,16.7,0.51,36,band,52.8
[from_above]fade+confirm/scale_be/$50,-6.74,-0.135,-54.71,37.85,reversal,31,fade,8.8,scale_be,-6.74,-1374.17,-923.51,0.74,50.0,52.16,from_above,5.0,78.8,-1.51,137,band,51.8
[from_above]fade+confirm/scale_be/$100,23.81,0.238,-89.22,82.89,reversal,31,fade,35.8,scale_be,23.81,-634.86,1595.09,1.78,100.0,97.96,from_above,10.0,50.7,1.99,67,band,65.7
[from_above]fade+confirm/scale_be/$150,22.79,0.152,-118.27,109.25,reversal,31,fade,54.0,scale_be,22.79,-491.01,1139.75,1.51,150.0,131.84,from_above,15.0,40.0,1.22,50,band,62.0
[from_above]fade+confirm/scale_be/$250,34.54,0.138,-126.7,146.7,reversal,31,fade,74.4,scale_be,34.54,-643.41,1347.03,1.66,250.0,174.27,from_above,25.0,20.5,1.24,39,band,59.0
[from_above]fade+confirm/ratchet/$50,-5.51,-0.11,-54.71,39.6,reversal,31,fade,8.0,ratchet,-5.51,-1235.4,-759.74,0.79,50.0,52.22,from_above,5.0,81.2,-1.24,138,band,52.2
[from_above]fade+confirm/ratchet/$100,14.94,0.149,-89.89,81.03,reversal,31,fade,29.3,ratchet,14.94,-634.86,1120.25,1.43,100.0,97.48,from_above,10.0,60.0,1.33,75,band,61.3
[from_above]fade+confirm/ratchet/$150,22.74,0.152,-118.27,109.17,reversal,31,fade,52.0,ratchet,22.74,-491.01,1137.25,1.51,150.0,131.79,from_above,15.0,42.0,1.22,50,band,62.0
[from_above]fade+confirm/ratchet/$250,34.54,0.138,-126.7,146.7,reversal,31,fade,74.4,ratchet,34.54,-643.41,1347.03,1.66,250.0,174.27,from_above,25.0,20.5,1.24,39,band,59.0
[from_above]reject+confirm/fixed_1r/$50,-10.75,-0.215,-55.89,41.92,reversal,31,reject,3.4,fixed_1r,-10.75,-1427.74,-1257.66,0.64,50.0,49.16,from_above,5.0,51.3,-2.37,117,band,46.2
[from_above]reject+confirm/fixed_1r/$100,-22.21,-0.222,-95.33,79.21,reversal,31,reject,16.2,fixed_1r,-22.21,-1783.56,-1643.52,0.6,100.0,90.71,from_above,10.0,48.6,-2.11,74,band,41.9
[from_above]reject+confirm/fixed_1r/$150,-35.23,-0.235,-125.33,99.92,reversal,31,reject,36.7,fixed_1r,-35.23,-2303.84,-2113.8,0.53,150.0,122.0,from_above,15.0,38.3,-2.24,60,band,40.0
[from_above]reject+confirm/fixed_1r/$250,-57.26,-0.229,-160.07,112.08,reversal,31,reject,57.8,fixed_1r,-57.26,-2819.12,-2576.6,0.43,250.0,163.27,from_above,25.0,28.9,-2.35,45,band,37.8
[from_above]reject+confirm/fixed_2r/$50,-21.12,-0.422,-56.1,77.33,reversal,31,reject,7.8,fixed_2r,-21.12,-2287.98,-2175.44,0.49,50.0,60.93,from_above,5.0,70.9,-3.52,103,band,26.2
[from_above]reject+confirm/fixed_2r/$100,-27.6,-0.276,-93.79,111.09,reversal,31,reject,29.2,fixed_2r,-27.6,-2033.74,-1793.7,0.57,100.0,107.82,from_above,10.0,55.4,-2.06,65,band,32.3
[from_above]reject+confirm/fixed_2r/$150,-32.34,-0.216,-127.33,124.39,reversal,31,reject,47.2,fixed_2r,-32.34,-2053.98,-1713.94,0.59,150.0,144.17,from_above,15.0,41.5,-1.63,53,band,37.7
[from_above]reject+confirm/fixed_2r/$250,-47.48,-0.19,-161.71,150.52,reversal,31,reject,63.4,fixed_2r,-47.48,-2699.28,-1946.68,0.54,250.0,195.41,from_above,25.0,29.3,-1.56,41,band,36.6
[from_above]reject+confirm/fixed_3r/$50,-18.41,-0.368,-56.1,106.11,reversal,31,reject,10.1,fixed_3r,-18.41,-1985.56,-1823.02,0.57,50.0,73.33,from_above,5.0,73.7,-2.5,99,band,23.2
[from_above]reject+confirm/fixed_3r/$100,-20.15,-0.201,-95.69,127.14,reversal,31,reject,33.9,fixed_3r,-20.15,-1661.82,-1188.82,0.68,100.0,124.5,from_above,10.0,55.9,-1.24,59,band,33.9
[from_above]reject+confirm/fixed_3r/$150,-26.16,-0.174,-126.39,142.65,reversal,31,reject,51.0,fixed_3r,-26.16,-2039.18,-1333.98,0.67,150.0,162.06,from_above,15.0,41.2,-1.15,51,band,37.3
[from_above]reject+confirm/fixed_3r/$250,-44.49,-0.178,-161.71,158.69,reversal,31,reject,65.9,fixed_3r,-44.49,-2544.28,-1824.18,0.57,250.0,211.98,from_above,25.0,29.3,-1.34,41,band,36.6
[from_above]reject+confirm/scale_be/$50,-9.82,-0.196,-56.27,40.21,reversal,31,reject,7.4,scale_be,-9.82,-1225.8,-1060.34,0.66,50.0,53.61,from_above,5.0,79.6,-1.9,108,band,48.1
[from_above]reject+confirm/scale_be/$100,-21.35,-0.213,-97.2,76.18,reversal,31,reject,28.1,scale_be,-21.35,-1461.54,-1366.22,0.61,100.0,95.77,from_above,10.0,64.1,-1.78,64,band,43.8
[from_above]reject+confirm/scale_be/$150,-36.69,-0.245,-129.9,100.91,reversal,31,reject,46.2,scale_be,-36.69,-2057.89,-1907.71,0.53,150.0,129.69,from_above,15.0,48.1,-2.04,52,band,40.4
[from_above]reject+confirm/scale_be/$250,-60.47,-0.242,-161.71,115.02,reversal,31,reject,63.4,scale_be,-60.47,-2805.53,-2479.18,0.41,250.0,173.1,from_above,25.0,31.7,-2.24,41,band,36.6
[from_above]reject+confirm/ratchet/$50,-9.1,-0.182,-56.27,40.75,reversal,31,reject,6.4,ratchet,-9.1,-1158.28,-991.57,0.69,50.0,53.35,from_above,5.0,81.7,-1.78,109,band,48.6
[from_above]reject+confirm/ratchet/$100,-22.97,-0.23,-97.48,72.09,reversal,31,reject,28.8,ratchet,-22.97,-1661.5,-1516.18,0.58,100.0,91.64,from_above,10.0,66.7,-2.04,66,band,43.9
[from_above]reject+confirm/ratchet/$150,-37.58,-0.251,-129.9,98.71,reversal,31,reject,42.3,ratchet,-37.58,-2104.14,-1953.96,0.51,150.0,128.15,from_above,15.0,51.9,-2.11,52,band,40.4
[from_above]reject+confirm/ratchet/$250,-60.47,-0.242,-161.71,115.02,reversal,31,reject,63.4,ratchet,-60.47,-2805.53,-2479.18,0.41,250.0,173.1,from_above,25.0,31.7,-2.24,41,band,36.6
[from_above]momentum+confirm/fixed_1r/$50,-11.8,-0.236,-55.04,41.91,reversal,31,momentum,4.7,fixed_1r,-11.8,-2010.04,-1747.04,0.61,50.0,48.81,from_above,5.0,51.4,-2.94,148,band,44.6
[from_above]momentum+confirm/fixed_1r/$100,-7.81,-0.078,-91.94,80.13,reversal,31,momentum,20.0,fixed_1r,-7.81,-1061.58,-703.2,0.83,100.0,90.83,from_above,10.0,38.9,-0.82,90,band,48.9
[from_above]momentum+confirm/fixed_1r/$150,-9.27,-0.062,-109.84,114.77,reversal,31,momentum,34.3,fixed_1r,-9.27,-921.7,-621.16,0.85,150.0,124.29,from_above,15.0,29.9,-0.61,67,band,44.8
[from_above]momentum+confirm/fixed_1r/$250,-17.37,-0.069,-139.11,133.35,reversal,31,momentum,57.4,fixed_1r,-17.37,-1589.22,-816.56,0.77,250.0,169.21,from_above,25.0,21.3,-0.7,47,band,44.7
[from_above]momentum+confirm/fixed_2r/$50,-19.09,-0.382,-54.93,83.93,reversal,31,momentum,8.1,fixed_2r,-19.09,-2367.52,-2367.52,0.53,50.0,62.46,from_above,5.0,68.5,-3.4,124,band,25.8
[from_above]momentum+confirm/fixed_2r/$100,0.87,0.009,-91.54,120.1,reversal,31,momentum,33.8,fixed_2r,0.87,-716.98,61.42,1.02,100.0,120.05,from_above,10.0,43.7,0.06,71,band,43.7
[from_above]momentum+confirm/fixed_2r/$150,-5.33,-0.036,-112.75,131.38,reversal,31,momentum,54.0,fixed_2r,-5.33,-969.68,-266.5,0.92,150.0,147.16,from_above,15.0,34.0,-0.26,50,band,44.0
[from_above]momentum+confirm/fixed_2r/$250,-24.79,-0.099,-142.26,134.14,reversal,31,momentum,72.5,fixed_2r,-24.79,-1444.3,-991.7,0.7,250.0,175.81,from_above,25.0,22.5,-0.89,40,band,42.5
[from_above]momentum+confirm/fixed_3r/$50,-19.43,-0.389,-54.57,119.59,reversal,31,momentum,10.5,fixed_3r,-19.43,-2332.98,-2215.22,0.55,50.0,73.4,from_above,5.0,72.8,-2.83,114,band,20.2
[from_above]momentum+confirm/fixed_3r/$100,-0.29,-0.003,-93.73,119.32,reversal,31,momentum,43.9,fixed_3r,-0.29,-777.32,-16.36,0.99,100.0,129.16,from_above,10.0,45.6,-0.02,57,band,43.9
[from_above]momentum+confirm/fixed_3r/$150,-12.48,-0.083,-112.75,127.89,reversal,31,momentum,60.4,fixed_3r,-12.48,-969.68,-599.04,0.81,150.0,145.3,from_above,15.0,35.4,-0.6,48,band,41.7
[from_above]momentum+confirm/fixed_3r/$250,-24.73,-0.099,-141.96,151.11,reversal,31,momentum,72.5,fixed_3r,-24.73,-1441.8,-989.2,0.71,250.0,196.9,from_above,25.0,22.5,-0.79,40,band,40.0
[from_above]momentum+confirm/scale_be/$50,-15.78,-0.316,-55.01,36.07,reversal,31,momentum,6.9,scale_be,-15.78,-2283.87,-2051.15,0.5,50.0,50.23,from_above,5.0,83.1,-3.58,130,band,43.1
[from_above]momentum+confirm/scale_be/$100,7.45,0.074,-92.93,79.51,reversal,31,momentum,32.8,scale_be,7.45,-719.58,498.84,1.19,100.0,98.4,from_above,10.0,56.7,0.62,67,band,58.2
[from_above]momentum+confirm/scale_be/$150,-1.38,-0.009,-114.18,111.42,reversal,31,momentum,54.0,scale_be,-1.38,-682.34,-69.0,0.98,150.0,128.79,from_above,15.0,42.0,-0.08,50,band,50.0
[from_above]momentum+confirm/scale_be/$250,-19.25,-0.077,-143.89,140.02,reversal,31,momentum,70.7,scale_be,-19.25,-1583.07,-789.18,0.76,250.0,178.23,from_above,25.0,24.4,-0.69,41,band,43.9
[from_above]momentum+confirm/ratchet/$50,-13.71,-0.274,-54.98,36.5,reversal,31,momentum,6.8,ratchet,-13.71,-2056.31,-1823.59,0.55,50.0,49.66,from_above,5.0,85.7,-3.18,133,band,45.1
[from_above]momentum+confirm/ratchet/$100,7.93,0.079,-88.61,77.52,reversal,31,momentum,31.1,ratchet,7.93,-844.5,586.48,1.21,100.0,94.56,from_above,10.0,60.8,0.72,74,band,58.1
[from_above]momentum+confirm/ratchet/$150,-1.13,-0.008,-114.18,111.92,reversal,31,momentum,50.0,ratchet,-1.13,-682.34,-56.5,0.98,150.0,129.05,from_above,15.0,46.0,-0.06,50,band,50.0
[from_above]momentum+confirm/ratchet/$250,-19.25,-0.077,-143.89,140.02,reversal,31,momentum,70.7,ratchet,-19.25,-1583.07,-789.18,0.76,250.0,178.23,from_above,25.0,24.4,-0.69,41,band,43.9
[from_above]long+confirm/fixed_1r/$50,-8.61,-0.172,-55.64,42.1,reversal,31,long,3.8,fixed_1r,-8.61,-1574.44,-1376.8,0.7,50.0,49.22,from_above,5.0,48.8,-2.21,160,band,48.1
[from_above]long+confirm/fixed_1r/$100,-4.95,-0.05,-87.53,81.22,reversal,31,long,21.3,fixed_1r,-4.95,-1013.74,-465.62,0.89,100.0,89.66,from_above,10.0,37.2,-0.54,94,band,48.9
[from_above]long+confirm/fixed_1r/$150,-5.85,-0.039,-111.6,115.02,reversal,31,long,36.0,fixed_1r,-5.85,-1574.04,-438.5,0.9,150.0,125.26,from_above,15.0,28.0,-0.4,75,band,46.7
[from_above]long+confirm/fixed_1r/$250,-15.73,-0.063,-144.64,140.02,reversal,31,long,52.8,fixed_1r,-15.73,-2211.94,-833.94,0.8,250.0,175.46,from_above,25.0,24.5,-0.65,53,band,45.3
[from_above]long+confirm/fixed_2r/$50,-13.29,-0.266,-54.46,81.39,reversal,31,long,9.8,fixed_2r,-13.29,-1965.82,-1754.86,0.65,50.0,64.8,from_above,5.0,63.6,-2.36,132,band,30.3
[from_above]long+confirm/fixed_2r/$100,-7.77,-0.078,-89.32,130.02,reversal,31,long,29.5,fixed_2r,-7.77,-1966.44,-605.94,0.86,100.0,119.26,from_above,10.0,47.4,-0.58,78,band,37.2
[from_above]long+confirm/fixed_2r/$150,-11.97,-0.08,-118.91,143.98,reversal,31,long,49.2,fixed_2r,-11.97,-1956.84,-706.32,0.83,150.0,154.47,from_above,15.0,35.6,-0.6,59,band,40.7
[from_above]long+confirm/fixed_2r/$250,-14.21,-0.057,-144.25,159.19,reversal,31,long,66.7,fixed_2r,-14.21,-1947.06,-596.66,0.83,250.0,197.96,from_above,25.0,26.2,-0.47,42,band,42.9
[from_above]long+confirm/fixed_3r/$50,-10.1,-0.202,-54.01,117.52,reversal,31,long,12.8,fixed_3r,-10.1,-1978.36,-1262.5,0.75,50.0,79.09,from_above,5.0,67.2,-1.43,125,band,25.6
