variant,avg_$,avg_R,avg_loss_$,avg_win_$,confirm,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_below]fade+confirm/fixed_1r/$50,-13.56,-0.271,-55.99,42.52,reversal,23,fade,1.5,fixed_1r,-13.56,-881.2,-881.2,0.57,50.0,49.24,from_below,5.0,55.4,-2.22,65,new_core_approach,43.1
new_core_approach:[from_below]fade+confirm/fixed_1r/$100,-21.53,-0.215,-92.27,86.11,reversal,23,fade,17.2,fixed_1r,-21.53,-1496.48,-1248.84,0.61,100.0,91.59,from_below,10.0,46.6,-1.79,58,new_core_approach,39.7
new_core_approach:[from_below]fade+confirm/fixed_1r/$150,-22.53,-0.15,-130.85,99.91,reversal,23,fade,32.7,fixed_1r,-22.53,-1406.9,-1104.02,0.68,150.0,125.97,from_below,15.0,38.8,-1.25,49,new_core_approach,46.9
new_core_approach:[from_below]fade+confirm/fixed_1r/$250,-42.98,-0.172,-148.19,114.84,reversal,23,fade,57.1,fixed_1r,-42.98,-1676.9,-1504.3,0.52,250.0,164.7,from_below,25.0,25.7,-1.54,35,new_core_approach,40.0
new_core_approach:[from_below]fade+confirm/fixed_2r/$50,-23.23,-0.465,-55.59,90.02,reversal,23,fade,4.8,fixed_2r,-23.23,-1498.78,-1463.74,0.46,50.0,61.24,from_below,5.0,74.6,-3.01,63,new_core_approach,22.2
new_core_approach:[from_below]fade+confirm/fixed_2r/$100,-16.13,-0.161,-91.54,104.52,reversal,23,fade,38.5,fixed_2r,-16.13,-1276.8,-838.96,0.71,100.0,109.11,from_below,10.0,46.2,-1.07,52,new_core_approach,38.5
new_core_approach:[from_below]fade+confirm/fixed_2r/$150,-36.5,-0.243,-126.77,103.91,reversal,23,fade,45.7,fixed_2r,-36.5,-2001.68,-1679.08,0.53,150.0,137.3,from_below,15.0,43.5,-1.8,46,new_core_approach,39.1
new_core_approach:[from_below]fade+confirm/fixed_2r/$250,-50.06,-0.2,-154.38,169.02,reversal,23,fade,61.3,fixed_2r,-50.06,-1794.46,-1551.88,0.52,250.0,201.79,from_below,25.0,32.3,-1.38,31,new_core_approach,32.3
new_core_approach:[from_below]fade+confirm/fixed_3r/$50,-16.11,-0.322,-55.47,113.23,reversal,23,fade,11.7,fixed_3r,-16.11,-1108.82,-966.3,0.62,50.0,74.7,from_below,5.0,73.3,-1.67,60,new_core_approach,23.3
new_core_approach:[from_below]fade+confirm/fixed_3r/$100,-22.92,-0.229,-92.04,115.31,reversal,23,fade,41.2,fixed_3r,-22.92,-1541.58,-1168.98,0.63,100.0,119.79,from_below,10.0,51.0,-1.37,51,new_core_approach,33.3
new_core_approach:[from_below]fade+confirm/fixed_3r/$150,-30.85,-0.206,-125.07,128.14,reversal,23,fade,46.5,fixed_3r,-30.85,-1699.22,-1326.64,0.61,150.0,161.4,from_below,15.0,44.2,-1.25,43,new_core_approach,37.2
new_core_approach:[from_below]fade+confirm/fixed_3r/$250,-42.0,-0.168,-154.38,194.02,reversal,23,fade,61.3,fixed_3r,-42.0,-1544.46,-1301.88,0.6,250.0,226.76,from_below,25.0,32.3,-1.03,31,new_core_approach,32.3
new_core_approach:[from_below]fade+confirm/scale_be/$50,-10.3,-0.206,-55.86,45.02,reversal,23,fade,9.7,scale_be,-10.3,-656.28,-638.76,0.66,50.0,55.31,from_below,5.0,77.4,-1.47,62,new_core_approach,45.2
