variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_above]fade/fixed_1r/$50,3.47,0.069,-57.48,40.98,15,fade,4.8,fixed_1r,3.47,-122.36,72.92,1.16,50.0,48.0,from_above,5.0,38.1,0.33,21,new_core_approach,61.9
new_core_approach:[from_above]fade/fixed_1r/$100,-0.46,-0.005,-94.15,69.81,15,fade,28.6,fixed_1r,-0.46,-329.82,-9.58,0.99,100.0,86.35,from_above,10.0,33.3,-0.02,21,new_core_approach,57.1
new_core_approach:[from_above]fade/fixed_1r/$150,-9.98,-0.067,-123.04,91.77,15,fade,42.1,fixed_1r,-9.98,-584.86,-189.62,0.83,150.0,118.73,from_above,15.0,26.3,-0.37,19,new_core_approach,52.6
new_core_approach:[from_above]fade/fixed_1r/$250,-11.54,-0.046,-176.41,116.69,15,fade,50.0,fixed_1r,-11.54,-629.88,-184.68,0.85,250.0,173.35,from_above,25.0,25.0,-0.27,16,new_core_approach,56.2
new_core_approach:[from_above]fade/fixed_2r/$50,-6.29,-0.126,-57.48,76.89,15,fade,9.5,fixed_2r,-6.29,-344.8,-132.08,0.82,50.0,67.4,from_above,5.0,61.9,-0.43,21,new_core_approach,38.1
new_core_approach:[from_above]fade/fixed_2r/$100,12.27,0.123,-95.48,120.02,15,fade,35.0,fixed_2r,12.27,-434.86,245.4,1.26,100.0,122.8,from_above,10.0,40.0,0.45,20,new_core_approach,50.0
new_core_approach:[from_above]fade/fixed_2r/$150,-21.6,-0.144,-127.48,97.52,15,fade,52.9,fixed_2r,-21.6,-742.34,-367.16,0.68,150.0,131.66,from_above,15.0,35.3,-0.68,17,new_core_approach,47.1
new_core_approach:[from_above]fade/fixed_2r/$250,-38.42,-0.154,-174.98,98.14,15,fade,68.8,fixed_2r,-38.42,-794.86,-614.68,0.56,250.0,163.14,from_above,25.0,25.0,-0.94,16,new_core_approach,50.0
new_core_approach:[from_above]fade/fixed_3r/$50,1.27,0.025,-57.48,110.38,15,fade,10.0,fixed_3r,1.27,-322.36,25.4,1.03,50.0,85.56,from_above,5.0,65.0,0.07,20,new_core_approach,35.0
new_core_approach:[from_above]fade/fixed_3r/$100,-7.9,-0.079,-95.48,101.58,15,fade,50.0,fixed_3r,-7.9,-542.34,-142.14,0.85,100.0,115.86,from_above,10.0,44.4,-0.29,18,new_core_approach,44.4
