variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_above]fade/fixed_1r/$50,-7.44,-0.149,-54.85,42.04,27,fade,6.4,fixed_1r,-7.44,-451.06,-349.56,0.73,50.0,48.87,from_above,5.0,46.8,-1.04,47,new_core_approach,48.9
new_core_approach:[from_above]fade/fixed_1r/$100,3.68,0.037,-81.58,81.54,27,fade,31.8,fixed_1r,3.68,-464.56,162.08,1.09,100.0,86.36,from_above,10.0,27.3,0.28,44,new_core_approach,52.3
new_core_approach:[from_above]fade/fixed_1r/$150,-5.47,-0.036,-103.08,107.56,27,fade,41.5,fixed_1r,-5.47,-1149.4,-224.08,0.9,150.0,117.8,from_above,15.0,26.8,-0.3,41,new_core_approach,46.3
new_core_approach:[from_above]fade/fixed_1r/$250,9.02,0.036,-125.52,151.97,27,fade,63.6,fixed_1r,9.02,-1187.84,297.66,1.14,250.0,164.03,from_above,25.0,12.1,0.32,33,new_core_approach,48.5
new_core_approach:[from_above]fade/fixed_2r/$50,-2.36,-0.047,-55.04,79.59,27,fade,17.4,fixed_2r,-2.36,-496.22,-108.58,0.93,50.0,67.72,from_above,5.0,54.3,-0.24,46,new_core_approach,39.1
new_core_approach:[from_above]fade/fixed_2r/$100,7.03,0.07,-83.84,129.96,27,fade,40.0,fixed_2r,7.03,-972.04,281.1,1.15,100.0,117.67,from_above,10.0,35.0,0.38,40,new_core_approach,42.5
new_core_approach:[from_above]fade/fixed_2r/$150,-16.27,-0.108,-108.56,147.0,27,fade,52.8,fixed_2r,-16.27,-1691.38,-585.78,0.77,150.0,147.14,from_above,15.0,36.1,-0.66,36,new_core_approach,36.1
new_core_approach:[from_above]fade/fixed_2r/$250,13.73,0.055,-125.52,182.82,27,fade,80.6,fixed_2r,13.73,-1260.14,425.62,1.2,250.0,193.06,from_above,25.0,12.9,0.4,31,new_core_approach,45.2
new_core_approach:[from_above]fade/fixed_3r/$50,1.28,0.026,-55.12,110.33,27,fade,18.2,fixed_3r,1.28,-588.74,56.38,1.04,50.0,83.43,from_above,5.0,59.1,0.1,44,new_core_approach,34.1
new_core_approach:[from_above]fade/fixed_3r/$100,-3.34,-0.033,-84.82,147.09,27,fade,48.6,fixed_3r,-3.34,-1222.78,-123.56,0.94,100.0,131.42,from_above,10.0,40.5,-0.15,37,new_core_approach,35.1
