variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_below]fade/fixed_1r/$50,-12.65,-0.253,-57.48,42.52,23,fade,0.0,fixed_1r,-12.65,-744.08,-733.84,0.6,50.0,49.73,from_below,5.0,55.2,-1.94,58,new_core_approach,44.8
new_core_approach:[from_below]fade/fixed_1r/$100,-26.99,-0.27,-98.29,83.52,23,fade,15.7,fixed_1r,-26.99,-1561.52,-1376.48,0.55,100.0,91.44,from_below,10.0,51.0,-2.11,51,new_core_approach,39.2
new_core_approach:[from_below]fade/fixed_1r/$150,-22.78,-0.152,-132.36,92.27,23,fade,36.6,fixed_1r,-22.78,-1109.48,-934.18,0.66,150.0,122.96,from_below,15.0,36.6,-1.19,41,new_core_approach,48.8
new_core_approach:[from_below]fade/fixed_1r/$250,-49.75,-0.199,-185.57,94.55,23,fade,57.6,fixed_1r,-49.75,-1734.36,-1641.84,0.48,250.0,168.05,from_below,25.0,30.3,-1.7,33,new_core_approach,48.5
new_core_approach:[from_below]fade/fixed_2r/$50,-17.84,-0.357,-57.48,81.27,23,fade,5.4,fixed_2r,-17.84,-1033.92,-998.88,0.57,50.0,64.08,from_below,5.0,71.4,-2.08,56,new_core_approach,28.6
new_core_approach:[from_below]fade/fixed_2r/$100,-21.91,-0.219,-97.3,110.02,23,fade,31.8,fixed_2r,-21.91,-1364.42,-964.12,0.65,100.0,111.13,from_below,10.0,52.3,-1.31,44,new_core_approach,36.4
new_core_approach:[from_below]fade/fixed_2r/$150,-39.78,-0.265,-136.53,87.21,23,fade,48.6,fixed_2r,-39.78,-1574.52,-1471.76,0.49,150.0,133.22,from_below,15.0,43.2,-1.82,37,new_core_approach,43.2
new_core_approach:[from_below]fade/fixed_2r/$250,-53.65,-0.215,-192.79,105.38,23,fade,63.3,fixed_2r,-53.65,-1709.62,-1609.4,0.48,250.0,191.38,from_below,25.0,33.3,-1.54,30,new_core_approach,46.7
new_core_approach:[from_below]fade/fixed_3r/$50,-13.01,-0.26,-57.48,107.7,23,fade,9.6,fixed_3r,-13.01,-818.98,-676.46,0.69,50.0,77.48,from_below,5.0,73.1,-1.21,52,new_core_approach,26.9
new_core_approach:[from_below]fade/fixed_3r/$100,-26.92,-0.269,-100.38,95.52,23,fade,37.5,fixed_3r,-26.92,-1324.54,-1076.7,0.57,100.0,114.66,from_below,10.0,55.0,-1.48,40,new_core_approach,37.5
new_core_approach:[from_below]fade/fixed_3r/$150,-33.69,-0.225,-136.1,102.85,23,fade,51.4,fixed_3r,-33.69,-1504.6,-1179.3,0.57,150.0,152.92,from_below,15.0,42.9,-1.3,35,new_core_approach,42.9
new_core_approach:[from_below]fade/fixed_3r/$250,-45.31,-0.181,-192.79,123.23,23,fade,63.3,fixed_3r,-45.31,-1709.62,-1359.4,0.56,250.0,218.5,from_below,25.0,33.3,-1.14,30,new_core_approach,46.7
new_core_approach:[from_below]fade/scale_be/$50,-12.13,-0.243,-57.48,42.68,23,fade,5.7,scale_be,-12.13,-735.21,-642.69,0.61,50.0,54.64,from_below,5.0,81.1,-1.62,53,new_core_approach,45.3
