variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_below]fade/fixed_1r/$50,-14.18,-0.284,-54.3,41.15,42,fade,8.7,fixed_1r,-14.18,-1048.6,-978.52,0.55,50.0,48.01,from_below,5.0,53.6,-2.45,69,new_core_approach,42.0
new_core_approach:[from_below]fade/fixed_1r/$100,-6.94,-0.069,-91.92,75.39,42,fade,22.2,fixed_1r,-6.94,-1209.6,-437.04,0.85,100.0,89.18,from_below,10.0,38.1,-0.62,63,new_core_approach,50.8
new_core_approach:[from_below]fade/fixed_1r/$150,-6.07,-0.04,-123.93,100.38,42,fade,39.0,fixed_1r,-6.07,-1592.32,-358.22,0.9,150.0,123.76,from_below,15.0,30.5,-0.38,59,new_core_approach,52.5
new_core_approach:[from_below]fade/fixed_1r/$250,-21.62,-0.086,-168.3,125.06,42,fade,54.2,fixed_1r,-21.62,-2421.76,-1037.64,0.74,250.0,176.04,from_below,25.0,27.1,-0.85,48,new_core_approach,50.0
new_core_approach:[from_below]fade/fixed_2r/$50,-8.38,-0.168,-53.21,83.32,42,fade,14.9,fixed_2r,-8.38,-978.86,-561.36,0.77,50.0,66.13,from_below,5.0,59.7,-1.04,67,new_core_approach,32.8
new_core_approach:[from_below]fade/fixed_2r/$100,9.3,0.093,-87.88,117.28,42,fade,38.6,fixed_2r,9.3,-1105.58,530.04,1.2,100.0,117.63,from_below,10.0,38.6,0.6,57,new_core_approach,47.4
new_core_approach:[from_below]fade/fixed_2r/$150,-5.34,-0.036,-120.76,135.17,42,fade,49.0,fixed_2r,-5.34,-1500.86,-272.18,0.92,150.0,153.49,from_below,15.0,35.3,-0.25,51,new_core_approach,45.1
new_core_approach:[from_below]fade/fixed_2r/$250,-11.6,-0.046,-174.08,150.89,42,fade,65.2,fixed_2r,-11.6,-2122.28,-533.38,0.87,250.0,200.66,from_below,25.0,28.3,-0.39,46,new_core_approach,50.0
new_core_approach:[from_below]fade/fixed_3r/$50,-0.24,-0.005,-53.21,113.27,42,fade,19.7,fixed_3r,-0.24,-905.26,-15.68,0.99,50.0,81.77,from_below,5.0,60.6,-0.02,66,new_core_approach,31.8
new_core_approach:[from_below]fade/fixed_3r/$100,8.61,0.086,-88.32,135.03,42,fade,41.5,fixed_3r,8.61,-1108.34,456.16,1.17,100.0,135.44,from_below,10.0,43.4,0.46,53,new_core_approach,43.4
new_core_approach:[from_below]fade/fixed_3r/$150,-1.39,-0.009,-122.5,135.51,42,fade,59.2,fixed_3r,-1.39,-1500.86,-68.22,0.98,150.0,159.36,from_below,15.0,34.7,-0.06,49,new_core_approach,46.9
new_core_approach:[from_below]fade/fixed_3r/$250,-6.16,-0.025,-174.08,161.76,42,fade,65.2,fixed_3r,-6.16,-2122.28,-283.38,0.93,250.0,216.97,from_below,25.0,28.3,-0.19,46,new_core_approach,50.0
new_core_approach:[from_below]fade/scale_be/$50,-5.61,-0.112,-54.22,62.09,42,fade,16.4,scale_be,-5.61,-657.06,-375.86,0.82,50.0,61.76,from_below,5.0,64.2,-0.74,67,new_core_approach,41.8
new_core_approach:[from_below]fade/scale_be/$100,-1.4,-0.014,-90.71,94.78,42,fade,38.9,scale_be,-1.4,-1147.22,-75.62,0.97,100.0,106.29,from_below,10.0,46.3,-0.1,54,new_core_approach,48.1
new_core_approach:[from_below]fade/scale_be/$150,-4.84,-0.032,-126.06,107.06,42,fade,56.0,scale_be,-4.84,-1509.84,-241.8,0.92,150.0,135.23,from_below,15.0,38.0,-0.25,50,new_core_approach,52.0
new_core_approach:[from_below]fade/scale_be/$250,-14.23,-0.057,-174.08,145.61,42,fade,65.2,scale_be,-14.23,-2122.28,-654.73,0.84,250.0,195.25,from_below,25.0,28.3,-0.49,46,new_core_approach,50.0
new_core_approach:[from_below]fade/ratchet/$50,-6.46,-0.129,-54.22,60.06,42,fade,14.9,ratchet,-6.46,-663.96,-432.76,0.8,50.0,60.77,from_below,5.0,67.2,-0.87,67,new_core_approach,41.8
new_core_approach:[from_below]fade/ratchet/$100,-1.4,-0.014,-90.71,94.78,42,fade,38.9,ratchet,-1.4,-1110.48,-75.62,0.97,100.0,104.97,from_below,10.0,48.1,-0.1,54,new_core_approach,48.1
new_core_approach:[from_below]fade/ratchet/$150,-6.24,-0.042,-122.56,105.6,42,fade,54.9,ratchet,-6.24,-1509.84,-318.48,0.9,150.0,133.05,from_below,15.0,41.2,-0.34,51,new_core_approach,51.0
new_core_approach:[from_below]fade/ratchet/$250,-14.23,-0.057,-174.08,145.61,42,fade,65.2,ratchet,-14.23,-2122.28,-654.73,0.84,250.0,195.25,from_below,25.0,28.3,-0.49,46,new_core_approach,50.0
new_core_approach:[from_below]reject/fixed_1r/$50,-0.78,-0.016,-54.63,40.65,42,reject,8.7,fixed_1r,-0.78,-356.56,-53.72,0.97,50.0,48.01,from_below,5.0,37.7,-0.13,69,new_core_approach,56.5
new_core_approach:[from_below]reject/fixed_1r/$100,-8.02,-0.08,-87.96,79.91,42,reject,22.2,fixed_1r,-8.02,-909.92,-505.44,0.83,100.0,89.18,from_below,10.0,38.1,-0.71,63,new_core_approach,47.6
new_core_approach:[from_below]reject/fixed_1r/$150,-8.89,-0.059,-112.11,113.44,42,reject,39.0,fixed_1r,-8.89,-1206.42,-524.42,0.85,150.0,123.76,from_below,15.0,28.8,-0.55,59,new_core_approach,45.8
new_core_approach:[from_below]reject/fixed_1r/$250,6.66,0.027,-130.2,168.39,42,reject,54.2,fixed_1r,6.66,-977.88,319.56,1.09,250.0,176.04,from_below,25.0,16.7,0.26,48,new_core_approach,45.8
new_core_approach:[from_below]reject/fixed_2r/$50,3.03,0.061,-53.46,84.62,42,reject,15.2,fixed_2r,3.03,-652.56,199.72,1.1,50.0,69.75,from_below,5.0,48.5,0.35,66,new_core_approach,40.9
new_core_approach:[from_below]reject/fixed_2r/$100,8.65,0.087,-89.91,138.75,42,reject,29.3,fixed_2r,8.65,-876.82,501.76,1.17,100.0,124.8,from_below,10.0,43.1,0.53,58,new_core_approach,43.1
new_core_approach:[from_below]reject/fixed_2r/$150,-2.52,-0.017,-118.16,170.95,42,reject,45.5,fixed_2r,-2.52,-1502.66,-138.5,0.96,150.0,164.48,from_below,15.0,36.4,-0.11,55,new_core_approach,40.0
new_core_approach:[from_below]reject/fixed_2r/$250,18.81,0.075,-147.98,227.3,42,reject,64.4,fixed_2r,18.81,-1454.52,846.5,1.23,250.0,235.13,from_below,25.0,20.0,0.54,45,new_core_approach,44.4
new_core_approach:[from_below]reject/fixed_3r/$50,10.32,0.206,-53.66,119.62,42,reject,20.0,fixed_3r,10.32,-652.56,670.9,1.3,50.0,87.55,from_below,5.0,52.3,0.95,65,new_core_approach,36.9
new_core_approach:[from_below]reject/fixed_3r/$100,8.13,0.081,-91.37,170.95,42,reject,34.5,fixed_3r,8.13,-1180.54,471.36,1.14,100.0,147.53,from_below,10.0,48.3,0.42,58,new_core_approach,37.9
new_core_approach:[from_below]reject/fixed_3r/$150,15.21,0.101,-120.68,212.87,42,reject,48.1,fixed_3r,15.21,-1502.66,821.38,1.21,150.0,201.32,from_below,15.0,37.0,0.56,54,new_core_approach,40.7
new_core_approach:[from_below]reject/fixed_3r/$250,22.21,0.089,-147.98,234.95,42,reject,75.6,fixed_3r,22.21,-1454.52,999.6,1.27,250.0,245.4,from_below,25.0,20.0,0.61,45,new_core_approach,44.4
new_core_approach:[from_below]reject/scale_be/$50,5.5,0.11,-54.63,54.25,42,reject,14.9,scale_be,5.5,-356.56,368.39,1.22,50.0,60.41,from_below,5.0,61.2,0.75,67,new_core_approach,55.2
new_core_approach:[from_below]reject/scale_be/$100,-0.61,-0.006,-87.96,102.34,42,reject,31.1,scale_be,-0.61,-897.09,-37.28,0.99,100.0,109.22,from_below,10.0,52.5,-0.04,61,new_core_approach,45.9
new_core_approach:[from_below]reject/scale_be/$150,4.23,0.028,-116.89,149.58,42,reject,45.5,scale_be,4.23,-1206.42,232.9,1.07,150.0,154.51,from_below,15.0,40.0,0.2,55,new_core_approach,45.5
new_core_approach:[from_below]reject/scale_be/$250,16.14,0.065,-138.85,185.22,42,reject,71.7,scale_be,16.14,-1102.88,742.52,1.22,250.0,200.14,from_below,25.0,23.9,0.55,46,new_core_approach,47.8
new_core_approach:[from_below]reject/ratchet/$50,6.04,0.121,-54.63,53.94,42,reject,13.2,ratchet,6.04,-356.56,410.81,1.25,50.0,59.51,from_below,5.0,64.7,0.84,68,new_core_approach,55.9
new_core_approach:[from_below]reject/ratchet/$100,2.67,0.027,-87.96,109.48,42,reject,31.1,ratchet,2.67,-893.37,162.72,1.06,100.0,111.2,from_below,10.0,52.5,0.19,61,new_core_approach,45.9
new_core_approach:[from_below]reject/ratchet/$150,4.05,0.027,-116.89,149.19,42,reject,43.6,ratchet,4.05,-1206.42,223.0,1.06,150.0,154.34,from_below,15.0,41.8,0.19,55,new_core_approach,45.5
new_core_approach:[from_below]reject/ratchet/$250,16.14,0.065,-138.85,185.22,42,reject,71.7,ratchet,16.14,-1102.88,742.52,1.22,250.0,200.14,from_below,25.0,23.9,0.55,46,new_core_approach,47.8
new_core_approach:[from_below]momentum/fixed_1r/$50,-12.32,-0.246,-53.85,41.67,42,momentum,8.7,fixed_1r,-12.32,-980.18,-849.92,0.6,50.0,48.24,from_below,5.0,50.7,-2.12,69,new_core_approach,43.5
new_core_approach:[from_below]momentum/fixed_1r/$100,-14.42,-0.144,-91.4,75.83,42,momentum,22.2,fixed_1r,-14.42,-1124.88,-908.44,0.71,100.0,88.91,from_below,10.0,41.3,-1.29,63,new_core_approach,46.0
new_core_approach:[from_below]momentum/fixed_1r/$150,-16.29,-0.109,-122.39,101.17,42,momentum,39.0,fixed_1r,-16.29,-1417.4,-961.22,0.75,150.0,123.45,from_below,15.0,32.2,-1.01,59,new_core_approach,47.5
new_core_approach:[from_below]momentum/fixed_1r/$250,-36.86,-0.147,-170.0,120.48,42,momentum,54.2,fixed_1r,-36.86,-2456.46,-1769.24,0.6,250.0,174.15,from_below,25.0,29.2,-1.47,48,new_core_approach,45.8
