variant,day,entry_ts,exit_ts,side,entry,core,stop_pts,lots,gross_$,costs_$,net_$,R,reason,mae_R,mfe_R
fade/fixed_1r/$50,2026-07-10,2026-07-10 09:30:46,2026-07-10 09:33:46,long,7548.14,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,0.0,1.31
fade/fixed_1r/$50,2026-07-10,2026-07-10 09:50:54,2026-07-10 10:22:30,short,7554.37,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.94,1.07
fade/fixed_1r/$50,2026-07-10,2026-07-10 10:44:32,2026-07-10 10:56:06,long,7546.02,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.42,0.92
fade/fixed_1r/$50,2026-07-13,2026-07-13 09:40:57,2026-07-13 09:46:48,short,7550.26,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.14,0.14
fade/fixed_1r/$50,2026-07-13,2026-07-13 10:36:48,2026-07-13 10:41:48,short,7548.07,7545.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.14,1.02
fade/fixed_1r/$50,2026-07-13,2026-07-13 11:05:50,2026-07-13 11:45:45,short,7549.33,7545.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.53,1.31
fade/fixed_1r/$50,2026-07-14,2026-07-14 11:17:52,2026-07-14 11:30:58,long,7548.56,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.49,1.1
fade/fixed_1r/$50,2026-07-14,2026-07-14 13:01:08,2026-07-14 13:24:09,long,7546.4,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.56,1.03
fade/fixed_1r/$50,2026-07-14,2026-07-14 13:47:11,2026-07-14 14:04:12,long,7545.5,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,0.0,1.05
fade/fixed_1r/$50,2026-07-15,2026-07-15 10:54:34,2026-07-15 10:57:34,short,7553.84,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.08,0.0
fade/fixed_1r/$50,2026-07-15,2026-07-15 11:15:36,2026-07-15 11:28:37,short,7554.01,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.19,0.58
fade/fixed_1r/$50,2026-07-15,2026-07-15 11:48:39,2026-07-15 12:01:40,short,7554.38,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.31,1.28
fade/fixed_1r/$50,2026-07-16,2026-07-16 14:37:16,2026-07-16 15:08:22,short,7529.8,7525.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.86,1.04
fade/fixed_1r/$50,2026-07-16,2026-07-16 15:31:42,2026-07-16 15:48:50,short,7512.44,7510.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.7,1.42
fade/fixed_1r/$50,2026-07-17,2026-07-17 13:57:05,2026-07-17 13:57:43,short,7470.61,7470.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.53,0.0
fade/fixed_1r/$50,2026-07-17,2026-07-17 14:13:37,2026-07-17 14:13:44,long,7467.6,7470.0,5.0,2,50.0,7.48,42.52,0.85,target,0.0,2.13
fade/fixed_1r/$50,2026-07-17,2026-07-17 14:30:13,2026-07-17 14:30:45,long,7465.55,7470.0,5.0,2,50.0,7.48,42.52,0.85,target,0.0,2.54
fade/fixed_1r/$100,2026-07-10,2026-07-10 09:30:46,2026-07-10 10:02:55,long,7548.14,7550.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.19,1.04
fade/fixed_1r/$100,2026-07-10,2026-07-10 10:44:32,2026-07-10 11:05:13,long,7546.02,7550.0,10.0,2,-100.0,7.48,-107.48,-1.075,stop,-1.28,0.46
fade/fixed_1r/$100,2026-07-10,2026-07-10 11:36:16,2026-07-10 11:43:17,short,7553.39,7550.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.27,1.2
fade/fixed_1r/$100,2026-07-13,2026-07-13 09:40:57,2026-07-13 09:59:28,short,7550.26,7550.0,10.0,2,-100.0,7.48,-107.48,-1.075,stop,-1.24,0.41
fade/fixed_1r/$100,2026-07-13,2026-07-13 10:36:48,2026-07-13 10:45:48,short,7548.07,7545.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.07,1.0
fade/fixed_1r/$100,2026-07-13,2026-07-13 11:05:50,2026-07-13 11:56:46,short,7549.33,7545.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.26,1.05
fade/fixed_1r/$100,2026-07-14,2026-07-14 11:17:52,2026-07-14 11:41:41,long,7548.56,7550.0,10.0,2,-100.0,7.48,-107.48,-1.075,stop,-1.07,0.55
fade/fixed_1r/$100,2026-07-14,2026-07-14 13:01:08,2026-07-14 15:55:48,long,7546.4,7550.0,10.0,2,4.3,7.48,-3.18,-0.032,flat_at_close,-0.28,0.77
fade/fixed_1r/$100,2026-07-15,2026-07-15 10:54:34,2026-07-15 11:09:36,short,7553.84,7550.0,10.0,2,-100.0,7.48,-107.48,-1.075,stop,-1.17,0.0
fade/fixed_1r/$100,2026-07-15,2026-07-15 11:48:39,2026-07-15 12:03:40,short,7554.38,7550.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.16,1.01
fade/fixed_1r/$100,2026-07-15,2026-07-15 12:21:14,2026-07-15 13:00:17,long,7533.56,7535.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.55,1.01
fade/fixed_1r/$100,2026-07-16,2026-07-16 14:37:16,2026-07-16 15:18:36,short,7529.8,7525.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.43,1.04
fade/fixed_1r/$100,2026-07-16,2026-07-16 15:40:47,2026-07-16 15:55:54,short,7514.83,7510.0,10.0,2,-100.0,7.48,-107.48,-1.075,stop,-1.44,0.95
fade/fixed_1r/$100,2026-07-17,2026-07-17 13:57:05,2026-07-17 14:27:13,short,7470.61,7470.0,10.0,2,100.0,7.48,92.52,0.925,target,-0.76,1.09
fade/fixed_1r/$100,2026-07-17,2026-07-17 14:51:50,2026-07-17 14:52:46,long,7465.38,7470.0,10.0,2,100.0,7.48,92.52,0.925,target,0.0,1.29
fade/fixed_1r/$150,2026-07-10,2026-07-10 09:30:46,2026-07-10 10:34:31,long,7548.14,7550.0,15.0,2,-150.0,7.48,-157.48,-1.05,stop,-2.14,0.73
fade/fixed_1r/$150,2026-07-10,2026-07-10 11:15:14,2026-07-10 12:16:42,long,7547.81,7550.0,15.0,2,150.0,7.48,142.52,0.95,target,-0.43,1.01
fade/fixed_1r/$150,2026-07-10,2026-07-10 13:52:44,2026-07-10 15:55:24,long,7570.0,7575.0,15.0,2,69.4,7.48,61.92,0.413,flat_at_close,-0.26,0.62
