variant,day,entry_ts,exit_ts,side,entry,core,stop_pts,lots,gross_$,costs_$,net_$,R,reason,mae_R,mfe_R
fade/fixed_1r/$50,2026-07-09,2026-07-09 09:31:00,2026-07-09 09:33:00,short,7484.34,7480.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.5,0.4
fade/fixed_1r/$50,2026-07-09,2026-07-09 09:53:00,2026-07-09 10:06:00,long,7515.84,7520.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.3,0.55
fade/fixed_1r/$50,2026-07-09,2026-07-09 11:01:00,2026-07-09 11:06:00,long,7515.59,7520.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.6,1.2
fade/fixed_1r/$50,2026-07-10,2026-07-10 09:31:00,2026-07-10 09:36:00,short,7550.52,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.45,0.35
fade/fixed_1r/$50,2026-07-10,2026-07-10 10:28:00,2026-07-10 10:29:00,long,7556.77,7560.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.2,0.0
fade/fixed_1r/$50,2026-07-10,2026-07-10 11:23:00,2026-07-10 11:39:00,long,7555.52,7560.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.4,0.9
fade/fixed_1r/$50,2026-07-13,2026-07-13 10:46:00,2026-07-13 10:49:00,short,7542.88,7540.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.6,0.3
fade/fixed_1r/$50,2026-07-13,2026-07-13 11:46:00,2026-07-13 11:51:00,short,7543.63,7540.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.1,1.2
fade/fixed_1r/$50,2026-07-13,2026-07-13 12:19:00,2026-07-13 12:26:00,long,7535.13,7540.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.35,0.1
fade/fixed_1r/$50,2026-07-14,2026-07-14 10:34:00,2026-07-14 10:38:00,long,7547.13,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.2
fade/fixed_1r/$50,2026-07-14,2026-07-14 11:04:00,2026-07-14 11:08:00,short,7550.13,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.45,0.45
fade/fixed_1r/$50,2026-07-14,2026-07-14 11:37:00,2026-07-14 11:40:00,long,7545.13,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.35
fade/fixed_1r/$50,2026-07-15,2026-07-15 10:01:00,2026-07-15 10:19:00,long,7576.19,7580.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.85,1.05
fade/fixed_1r/$50,2026-07-15,2026-07-15 11:16:00,2026-07-15 11:18:00,short,7550.94,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.4,0.7
fade/fixed_1r/$50,2026-07-15,2026-07-15 11:47:00,2026-07-15 11:51:00,short,7553.94,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.55,1.15
