variant,day,entry_ts,exit_ts,side,entry,core,stop_pts,lots,gross_$,costs_$,net_$,R,reason,mae_R,mfe_R
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-09,2026-07-09 09:53:00,2026-07-09 10:06:00,long,7515.84,7520.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.3,0.55
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-09,2026-07-09 12:24:00,2026-07-09 12:57:00,long,7535.34,7540.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.15,0.2
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-09,2026-07-09 13:29:00,2026-07-09 13:58:00,long,7545.34,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.35
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-10,2026-07-10 10:28:00,2026-07-10 10:29:00,long,7556.77,7560.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.2,0.0
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-10,2026-07-10 12:50:00,2026-07-10 13:37:00,long,7565.27,7570.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.95,1.0
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-14,2026-07-14 10:34:00,2026-07-14 10:38:00,long,7547.13,7550.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.2
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-14,2026-07-14 12:59:00,2026-07-14 13:22:00,long,7545.38,7550.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.8,1.1
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-15,2026-07-15 10:01:00,2026-07-15 10:19:00,long,7576.19,7580.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.85,1.05
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-15,2026-07-15 13:49:00,2026-07-15 13:54:00,long,7566.19,7570.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.4,1.1
new_core_approach:[from_below]fade/fixed_1r/$50,2026-07-16,2026-07-16 11:25:00,2026-07-16 11:28:00,long,7567.16,7570.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.15,0.6
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-03,2026-08-03 09:59:00,2026-08-03 10:04:00,long,7560.48,7565.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.65
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-03,2026-08-03 10:16:00,2026-08-03 10:39:00,long,7567.73,7570.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.35,1.25
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-03,2026-08-03 11:07:00,2026-08-03 11:20:00,long,7575.23,7580.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.55,1.0
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-03,2026-08-03 11:53:00,2026-08-03 13:18:00,long,7586.23,7590.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.9,1.0
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-03,2026-08-03 13:30:00,2026-08-03 13:54:00,long,7595.48,7600.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.25,1.05
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-03,2026-08-03 15:47:00,2026-08-03 15:54:00,long,7605.73,7610.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.1,0.5
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-04,2026-08-04 10:13:00,2026-08-04 10:17:00,long,7670.32,7675.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.05,1.3
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-04,2026-08-04 11:15:00,2026-08-04 11:24:00,long,7696.07,7700.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.2,1.15
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-04,2026-08-04 13:53:00,2026-08-04 13:59:00,long,7745.32,7750.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.15,0.05
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-07,2026-08-07 15:05:00,2026-08-07 15:10:00,long,7746.55,7750.0,5.0,2,50.0,7.48,42.52,0.85,target,0.0,1.55
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-07,2026-08-07 15:23:00,2026-08-07 15:30:00,long,7755.3,7760.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.1
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-10,2026-08-10 10:45:00,2026-08-10 10:52:00,long,7772.76,7775.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.3,0.4
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-10,2026-08-10 15:02:00,2026-08-10 15:50:00,long,7755.26,7760.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.3,0.55
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-12,2026-08-12 13:07:00,2026-08-12 13:15:00,long,7755.06,7760.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.0,0.15
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-13,2026-08-13 10:28:00,2026-08-13 10:42:00,long,7815.05,7820.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.0,0.35
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-13,2026-08-13 13:08:00,2026-08-13 13:37:00,long,7795.05,7800.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.1,0.5
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-19,2026-08-19 09:43:00,2026-08-19 09:48:00,long,7721.35,7725.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-2.45,0.95
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-19,2026-08-19 10:35:00,2026-08-19 10:38:00,long,7725.35,7730.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.35,1.3
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-19,2026-08-19 12:07:00,2026-08-19 12:27:00,long,7735.1,7740.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.95
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-20,2026-08-20 11:01:00,2026-08-20 11:05:00,long,7697.56,7700.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.25,0.65
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-21,2026-08-21 10:58:00,2026-08-21 11:00:00,long,7675.6,7680.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.05,1.0
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-21,2026-08-21 11:17:00,2026-08-21 11:32:00,long,7675.35,7680.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.5,1.05
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-21,2026-08-21 11:52:00,2026-08-21 11:57:00,long,7696.1,7700.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.1,0.25
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-21,2026-08-21 15:07:00,2026-08-21 15:48:00,long,7681.1,7685.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.85,1.0
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-24,2026-08-24 11:33:00,2026-08-24 11:43:00,long,7657.3,7660.0,5.0,2,50.0,7.48,42.52,0.85,target,-0.45,1.1
new_core_approach:[from_below]fade/fixed_1r/$50,2026-08-24,2026-08-24 12:01:00,2026-08-24 12:40:00,long,7666.05,7670.0,5.0,2,-50.0,7.48,-57.48,-1.15,stop,-1.05,0.9
