date,hit_ts,hit_slot,core,spot_at_hit,kind,reaction,excursion_pts,reclaim_min,note
2026-08-03,2026-08-03 16:30:09.586+00,12,7590,7587.54,touch,break_lt5,5.45,,"pierced by 5.45, never reclaimed"
2026-08-03,2026-08-03 17:45:19.976+00,17,7590,7597.03,approach,stalled,9.03,,"hovered near 7590, closest 9.03, no resolution"
2026-08-03,2026-08-03 19:00:18.929+00,22,7590,7605.065,approach,stalled,10.365,,"hovered near 7590, closest 10.36, no resolution"
2026-08-03,2026-08-03 20:03:25.829+00,26,7590,7600.365,approach,,,,
2026-08-04,2026-08-04 14:00:29.853+00,2,7650,7653.46,touch,new_wall,35.31,,broke by 35.31 and the cb rolled with it
2026-08-04,2026-08-04 15:18:24.636+00,7,7700,7696.89,touch,consolidated,13.415,,"broke by 13.41, then held a 4.43 range outside for 3 samples"
2026-08-04,2026-08-04 16:30:16.943+00,12,7700,7715.82,approach,rolled_over,15.82,,"came within 15.82 without tagging, then rolled 21.88 away"
2026-08-04,2026-08-04 19:00:09.49+00,22,7730,7745.04,approach,stalled,7.995,,"hovered near 7730, closest 7.99, no resolution"
2026-08-04,2026-08-04 19:15:09.773+00,23,7770,7752.415,approach,rolled_over,15.245,,"came within 15.24 without tagging, then rolled 16.76 away"
2026-08-05,2026-08-05 13:45:24.933+00,1,7800,7787.95,approach,rolled_over,13.65,,"came within 13.65 without tagging, then rolled 18.47 away"
2026-08-05,2026-08-05 16:30:12.643+00,12,7740,7742.35,touch,break_lt5,4.68,5,"pierced by 4.68, reclaimed after 5m"
2026-08-05,2026-08-05 17:45:23.778+00,17,7740,7742.19,touch,break_lt5,5.5,26,"pierced by 5.50, reclaimed after 26m"
2026-08-05,2026-08-05 19:00:27.171+00,22,7740,7738.345,touch,pin,3.665,,sat inside the band for 12 samples
2026-08-06,2026-08-06 13:29:25.535+00,0,7700,7720.995,approach,stalled,17.31,,"hovered near 7700, closest 17.31, no resolution"
2026-08-06,2026-08-06 15:30:03.93+00,8,7700,7715.975,approach,reached,0.000217,,approached and eventually tagged 7700
2026-08-06,2026-08-06 16:32:51.138+00,12,7700,7709.92,approach,reached,0.000473,,approached and eventually tagged 7700
2026-08-06,2026-08-06 17:34:02.441+00,16,7700,7703.64,touch,consolidated,18.705,,"broke by 18.70, then held a 1.59 range outside for 3 samples"
2026-08-06,2026-08-06 18:45:11.198+00,21,7700,7711.27,approach,stalled,8.18,,"hovered near 7700, closest 8.18, no resolution"
2026-08-06,2026-08-06 20:00:11.484+00,26,7700,7708.34,approach,,,,
