date,ts,slot,core,spot,gex_value,reason
2026-08-03,2026-08-03 13:41:41.627+00,0,7590,7539.225,28943303000,open
2026-08-04,2026-08-04 13:29:29.774+00,0,7650,7600.5,41745097000,open
2026-08-04,2026-08-04 15:00:02.618+00,6,7700,7685.31,48187245000,change
2026-08-04,2026-08-04 19:00:09.49+00,22,7730,7745.04,16777562000,change
2026-08-04,2026-08-04 19:15:09.773+00,23,7770,7752.415,13072435000,change
2026-08-04,2026-08-04 19:30:22.929+00,24,7730,7750.005,13011163000,change
2026-08-04,2026-08-04 19:45:22.24+00,25,7770,7754.755,13106499000,change
2026-08-04,2026-08-04 20:00:23.099+00,26,7730,7737.995,14996336000,change
2026-08-05,2026-08-05 13:29:24.75+00,0,7800,7736.52,17618119000,open
2026-08-05,2026-08-05 16:00:02.196+00,10,7740,7734.915,5953900500,change
2026-08-06,2026-08-06 13:29:25.535+00,0,7700,7720.995,-1240618100,open
2026-08-06,2026-08-06 14:15:27.547+00,3,7770,7739.85,3650140400,change
2026-08-06,2026-08-06 14:30:14.896+00,4,7700,7728.61,2002357400,change
2026-08-07,2026-08-07 13:29:19.029+00,0,7750,7709.96,16102371000,open
2026-08-07,2026-08-07 15:30:20.102+00,8,7775,7760.48,30066543000,change
2026-08-07,2026-08-07 15:45:22.83+00,9,7750,7756.62,26919752000,change
2026-08-07,2026-08-07 18:45:01.298+00,21,7740,7736.66,24939004000,change
2026-08-07,2026-08-07 19:03:18.406+00,22,7750,7743.96,30800585000,change
2026-08-10,2026-08-10 13:29:25.247+00,0,7775,7749.1,5421062000,open
2026-08-10,2026-08-10 18:30:00.498+00,20,7750,7749.82,3619487000,change
2026-08-10,2026-08-10 19:00:01.999+00,22,7775,7753.33,6382292500,change
2026-08-10,2026-08-10 19:15:11.524+00,23,7760,7756,7298395600,change
2026-08-10,2026-08-10 19:30:24.401+00,24,7750,7752.61,4623379500,change
2026-08-10,2026-08-10 19:45:24.421+00,25,7760,7753.72,5339294000,change
2026-08-10,2026-08-10 20:00:24.536+00,26,7750,7749.67,2171511800,change
2026-08-11,2026-08-11 13:29:24.555+00,0,7780,7753.11,6784497700,open
2026-08-11,2026-08-11 15:30:29.35+00,8,7725,7749.59,-2864994000,change
2026-08-11,2026-08-11 15:45:29.28+00,9,7715,7742.71,-7290708500,change
2026-08-11,2026-08-11 16:15:29.751+00,11,7725,7745.2,-3661088000,change
2026-08-11,2026-08-11 16:30:08.662+00,12,7715,7740.105,-9118108000,change
2026-08-11,2026-08-11 16:45:08.445+00,13,7725,7740.45,-7592128000,change
2026-08-11,2026-08-11 17:15:10.019+00,15,7715,7727.925,-13763830000,change
2026-08-11,2026-08-11 17:45:05.886+00,17,7725,7734.72,-12481028000,change
2026-08-11,2026-08-11 18:30:14.858+00,20,7715,7722.11,-19111975000,change
2026-08-11,2026-08-11 19:00:03.828+00,22,7725,7725.76,-17618287000,change
2026-08-11,2026-08-11 19:15:04.015+00,23,7715,7724.23,-20736393000,change
2026-08-11,2026-08-11 19:30:01.322+00,24,7725,7728.65,-16991943000,change
2026-08-12,2026-08-12 13:29:25.309+00,0,7800,7730.68,12622367000,open
2026-08-12,2026-08-12 13:47:06.838+00,1,7780,7749.555,6311374300,change
2026-08-12,2026-08-12 14:50:51.286+00,5,7760,7746.18,10365473000,change
2026-08-12,2026-08-12 15:30:26.905+00,8,7740,7743.64,-51092767000,change
2026-08-12,2026-08-12 16:15:02.549+00,11,7760,7746.435,-5802308600,change
2026-08-12,2026-08-12 19:50:05.325+00,25,7755,7751.47,99883180000,change
2026-08-12,2026-08-12 20:00:15.205+00,26,7745,7748.77,-658718850000,change
