day,unlevered_equity,voltargeted_equity,leverage
20231103,1.000000,1.000000,0.000
20231106,1.000000,1.000000,0.000
20231107,1.000000,1.000000,0.000
20231108,1.000000,1.000000,0.000
20231109,1.000000,1.000000,0.000
20231110,1.000000,1.000000,0.000
20231113,1.000000,1.000000,0.000
20231114,1.000000,1.000000,0.000
20231115,1.000000,1.000000,0.000
20231116,1.000000,1.000000,0.000
20231117,1.000000,1.000000,0.000
20231120,1.000000,1.000000,0.000
20231121,1.000000,1.000000,0.000
20231122,1.000000,1.000000,0.000
20231123,1.000000,1.000000,0.000
20231124,1.000000,1.000000,0.000
20231127,1.000000,1.000000,0.000
20231128,1.000000,1.000000,0.000
20231129,1.000000,1.000000,0.000
20231130,1.000000,1.000000,0.000
20231201,1.002911,1.000000,0.000
20231204,1.002911,1.000000,6.000
20231205,1.002126,0.995305,6.000
20231206,1.005929,1.017963,6.000
20231207,1.005072,1.012761,6.000
20231208,1.005266,1.013937,6.000
20231211,1.006307,1.020233,6.000
20231212,1.008903,1.036026,6.000
20231213,1.009262,1.038241,6.000
20231214,1.007625,1.028136,6.000
20231215,1.007625,1.028136,6.000
20231218,1.005644,1.016009,6.000
20231219,1.006797,1.022994,6.000
20231220,1.002789,0.998563,6.000
20231221,0.998833,0.974926,6.000
20231222,0.996277,0.959959,6.000
20231225,0.996277,0.959959,6.000
20231226,0.996323,0.960222,6.000
20231227,0.996323,0.960222,6.000
20231228,0.996323,0.960222,6.000
20231229,0.993441,0.943555,6.000
20240101,0.993441,0.943555,6.000
20240102,0.993976,0.946604,6.000
20240103,0.993791,0.945551,6.000
20240104,0.989230,0.919513,6.000
20240105,0.987110,0.907690,6.000
20240108,0.993226,0.941431,6.000
20240109,0.992526,0.937450,6.000
20240110,0.990822,0.927792,6.000
20240111,0.986285,0.902300,6.000
20240112,0.986691,0.904532,6.000
20240115,0.986691,0.904532,6.000
20240116,0.984673,0.893430,6.000
20240117,0.982817,0.883326,6.000
20240118,0.984215,0.890869,6.000
20240119,0.989421,0.919138,6.000
20240122,0.989421,0.919138,6.000
20240123,0.989421,0.919138,6.000
20240124,0.990312,0.924105,6.000
20240125,0.988044,0.911409,6.000
20240126,0.988044,0.911409,6.000
20240129,0.989415,0.918997,6.000
20240130,0.989415,0.918997,6.000
20240131,0.987566,0.908694,6.000
20240201,0.996630,0.958731,6.000
20240202,0.999990,0.978128,6.000
20240205,0.998136,0.967243,6.000
20240206,0.998136,0.967243,6.000
20240207,0.998533,0.969552,6.000
20240208,0.998533,0.969552,6.000
20240209,0.999984,0.978006,6.000
20240212,0.998642,0.970132,6.000
20240213,0.996979,0.960438,6.000
20240214,0.995367,0.951121,6.000
20240215,0.997953,0.965944,6.000
20240216,0.996623,0.958222,6.000
20240219,0.996623,0.958222,6.000
20240220,0.993340,0.939283,6.000
20240221,0.989685,0.918545,6.000
20240222,0.990431,0.922699,6.000
20240223,0.988636,0.912666,6.000
20240226,0.989542,0.917686,6.000
20240227,0.987022,0.903662,6.000
20240228,0.987022,0.903662,6.000
20240229,0.984641,0.890582,6.000
20240301,0.986860,0.902625,6.000
20240304,0.985053,0.892711,6.000
20240305,0.985729,0.896388,6.000
20240306,0.983516,0.884310,6.000
20240307,0.982737,0.880110,6.000
20240308,0.982372,0.878148,6.000
20240311,0.982372,0.878148,6.000
20240312,0.983016,0.881602,6.000
20240313,0.981536,0.873638,6.000
20240314,0.979920,0.865008,6.000
20240315,0.979920,0.865008,6.000
20240318,0.979920,0.865008,6.000
20240319,0.982240,0.877297,6.000
20240320,0.987407,0.904982,6.000
20240321,0.987407,0.904982,6.000
20240322,0.987407,0.904982,6.000
20240325,0.987407,0.904982,6.000
20240326,0.987702,0.906605,6.000
20240327,0.982866,0.879972,6.000
20240328,0.982866,0.879972,6.000
20240401,0.981950,0.875052,6.000
20240402,0.981950,0.875052,6.000
20240403,0.981891,0.874737,6.000
20240404,0.987002,0.902058,6.000
20240405,0.987907,0.907020,6.000
20240408,0.987907,0.907020,6.000
20240409,0.987099,0.902571,6.000
20240410,0.987099,0.902571,6.000
20240411,0.982848,0.879247,6.000
20240412,0.984540,0.888328,6.000
20240415,0.989125,0.913150,6.000
20240416,0.985919,0.895394,6.000
20240417,0.990647,0.921155,6.000
20240418,0.987727,0.904865,6.000
20240419,0.985861,0.894606,6.000
20240422,0.980879,0.867484,6.000
20240423,0.982519,0.876184,6.000
20240424,0.979847,0.861890,6.000
20240425,0.987170,0.900535,6.000
20240426,0.985832,0.893215,6.000
20240429,0.985832,0.893215,5.997
20240430,0.992605,0.930036,6.000
20240501,0.984573,0.888722,5.490
20240502,0.980133,0.869286,4.849
20240503,0.980133,0.869286,4.915
20240506,0.979794,0.867806,4.927
20240507,0.979794,0.867806,4.928
20240508,0.978695,0.863010,4.929
20240509,0.979579,0.866847,4.926
20240510,0.979579,0.866847,5.046
20240513,0.978990,0.864202,5.077
20240514,0.979241,0.865378,5.310
20240515,0.982065,0.878819,5.385
20240516,0.982065,0.878819,5.559
20240517,0.982065,0.878819,5.635
20240520,0.982065,0.878819,5.667
20240521,0.981858,0.877709,5.991
20240522,0.977956,0.856779,6.000
20240523,0.983367,0.884811,5.914
20240524,0.981384,0.874108,6.000
20240527,0.981384,0.874108,6.000
20240528,0.978664,0.859570,6.000
20240529,0.978664,0.859570,6.000
20240530,0.978413,0.858247,6.000
20240531,0.977542,0.853665,6.000
20240603,0.975984,0.845504,6.000
20240604,0.974263,0.836554,6.000
20240605,0.977509,0.853279,6.000
20240606,0.975809,0.844373,6.000
20240607,0.970372,0.816147,6.000
20240610,0.971311,0.820884,6.000
20240611,0.972738,0.828120,6.000
20240612,0.972738,0.828120,6.000
20240613,0.969584,0.812014,6.000
20240614,0.969826,0.813229,6.000
20240617,0.973377,0.831095,6.000
20240618,0.973377,0.831095,6.000
20240619,0.973377,0.831095,6.000
20240620,0.973792,0.833220,6.000
20240621,0.973792,0.833220,6.000
20240624,0.970065,0.814084,6.000
20240625,0.970065,0.814084,6.000
20240626,0.967551,0.801426,6.000
20240627,0.967551,0.801426,6.000
20240628,0.963753,0.782549,6.000
20240701,0.964483,0.786105,6.000
20240702,0.969340,0.809859,6.000
20240703,0.971049,0.818428,6.000
20240704,0.971049,0.818428,6.000
20240705,0.972159,0.824040,6.000
20240708,0.972159,0.824040,6.000
20240709,0.972159,0.824040,6.000
20240710,0.975620,0.841645,6.000
20240711,0.976680,0.847127,6.000
20240712,0.974390,0.835210,6.000
20240715,0.972919,0.827647,6.000
20240716,0.972880,0.827447,6.000
20240717,0.970883,0.817257,6.000
20240718,0.974643,0.836244,6.000
20240719,0.969776,0.811193,6.000
20240722,0.968709,0.805834,6.000
20240723,0.966052,0.792574,6.000
20240724,0.970748,0.815689,6.000
20240725,0.963211,0.777693,6.000
20240726,0.958168,0.753264,6.000
20240729,0.956150,0.743819,5.952
20240730,0.960196,0.762474,5.927
20240731,0.960289,0.762918,6.000
20240801,0.968571,0.802397,6.000
20240802,0.966607,0.793971,5.177
20240805,0.958221,0.758408,5.163
20240806,0.956734,0.752938,4.648
20240807,0.971027,0.805217,4.648
