day,netGex,spot,callWall,putWall
20240701,-125784300.51862071,5475.09,,
20240702,-82660131.10484083,5509.01,,
20240703,-4100054686.1290207,5537.02,,
20240705,-47342358.83476091,5567.19,,
20240708,-55848502.32951742,5572.85,,
20240709,-49521051.82740061,5576.98,,
20240710,2553683528.6011934,5633.91,,
20240711,69625654.4201692,5584.54,,
20240712,1154751132.888314,5615.35,,
20240715,26808818.896846954,5631.22,,
20240716,122857783.74939515,5667.2,,
20240717,-81977823.03194678,5588.27,,
20240718,-152106811.46148258,5544.59,,
20240719,-76519574.33099909,5505,,
20240722,-25752771.98972582,5564.41,,
20240723,-57751688.135198876,5555.74,,
20240724,-1349444093.7050877,5427.13,,
20240729,-1148760755.576964,5463.54,,
20240730,-784058981.5102577,5436.44,,
20240731,-56033229.187748455,5522.3,,
20240801,-3896528718.730591,5446.68,,
20240814,-16173405.557067197,5455.21,,
20240815,17911754.282687467,5543.22,,
20240816,-52162483.74768159,5554.25,,
20240819,68137358.15970023,5608.25,,
20240820,-1050165.3458351903,5597.12,,
20240821,36173819.9551334,5620.85,,
20240822,-67126049.99299903,5570.64,,
20240823,-581244882.3837893,5634.61,,
20240826,-13434207082.073458,5616.84,,
20240827,-4314657710.978466,5625.8,,
20240828,387795060.2804922,5592.18,,
20240829,6573934241.2681675,5591.96,,
20240830,-2244741534.195581,5648.4,,
20240903,-86934023.94128524,5528.93,,
20240913,103956798.14300874,5626.02,,
20240916,195602779.13742426,5633.09,,
20240917,223118291.78022692,5634.58,,
20240918,178257725.6045166,5618.26,,
20240919,179521639503.4932,5713.64,,
20240920,128993.83058987558,5702.55,,
20240923,164806009.02094427,5718.57,,
20240924,492344011.8374559,5732.93,,
20240925,426979847.59888256,5722.26,,
20240926,3366877921.5787406,5745.37,,
20240927,1881763566.0491292,5738.17,,
20240930,3091632090.943178,5762.48,,
20241004,1321347170.1061249,5751.07,,
20241008,29936978795.53211,5751.13,,
20241015,-19240391005.69953,5815.26,,
20241016,649180109.0673238,5842.47,,
20241017,-288971952.9639286,5841.47,,
20241018,3280220622.8228765,5864.67,,
20241021,9178426619.564383,5853.98,,
20241022,9318299515.842009,5851.2,,
20241023,-943161719.3862615,5797.42,,
20241024,164263819.04922333,5809.86,,
20241025,196941393.34640163,5808.12,,
20241028,604458716.0162113,5823.52,,
20241029,216294759.47213012,5832.92,,
20241030,1307116045.8922951,5813.67,,
20241031,651076502.2906067,5705.45,,
20241104,4617540000.602349,5712.69,,
20241105,-555187827.4578745,5782.76,,
20241106,-2932984243.6587195,5929.04,,
20241107,936118254.6530285,5973.1,,
20241108,516560157.37896043,5995.54,,
20241111,-257340412.32951993,6001.35,,
20241112,20465022524.204712,5983.99,,
20241113,-23620711248.218212,5985.38,,
20241114,5464767337.220232,5949.17,,
20241115,-85032209753.43057,5870.62,,
20241118,11255106442.238258,5893.62,,
20241119,-44390847568.09686,5916.98,,
20241120,346365873.65441537,5917.11,,
