day,dir,entry,exit,grossPts,netPts,retFrac,reason
20231201,1,5275.75,5289.1180328096525,13.37,12.62,0.002392,trail
20231201,1,5294.5,5298,3.50,2.75,0.000519,session_close
20231205,1,5267.5,5266.877214285993,-0.62,-1.37,-0.000261,trail
20231205,1,5269.25,5267.25,-2.00,-2.75,-0.000522,session_close
20231206,-1,5271.25,5250.5,20.75,20.00,0.003794,session_close
20231207,1,5283.5,5279.75,-3.75,-4.50,-0.000852,session_close
20231208,1,5299.25,5292.133515220865,-7.12,-7.87,-0.001484,trail
20231208,1,5288,5290.383515220865,2.38,1.63,0.000309,trail
20231208,1,5295.5,5303.5,8.00,7.25,0.001369,session_close
20231211,1,5314.25,5320.5,6.25,5.50,0.001035,session_close
20231212,1,5329.5,5344,14.50,13.75,0.002580,session_close
20231213,1,5370.5,5396.011310156926,25.51,24.76,0.004611,trail
20231213,1,5406.75,5396.011310156926,-10.74,-11.49,-0.002125,trail
20231213,1,5395,5384.261310156926,-10.74,-11.49,-0.002130,trail
20231214,-1,5409,5404.506821443205,4.49,3.74,0.000692,trail
20231214,-1,5404.5,5416.256821443205,-11.76,-12.51,-0.002314,trail
20231218,1,5442.5,5432.550736047142,-9.95,-10.70,-0.001966,trail
20231219,1,5454.75,5461.75,7.00,6.25,0.001146,session_close
20231220,1,5469.25,5461.288751676856,-7.96,-8.71,-0.001593,trail
20231220,-1,5431.25,5430.961248323144,0.29,-0.46,-0.000085,trail
20231220,-1,5412,5423.711248323144,-11.71,-12.46,-0.002303,trail
20231221,-1,5406,5412.425076390405,-6.43,-7.18,-0.001327,trail
20231221,-1,5411,5422.675076390405,-11.68,-12.43,-0.002296,trail
20231221,1,5440.25,5439.25,-1.00,-1.75,-0.000322,session_close
20231222,-1,5432.25,5445.3993592353445,-13.15,-13.90,-0.002559,trail
20231226,1,5469.5,5470.5,1.00,0.25,0.000046,session_close
20231229,-1,5454,5456.137927203324,-2.14,-2.89,-0.000530,trail
20231229,-1,5453,5465.137927203324,-12.14,-12.89,-0.002363,trail
20240102,-1,5423.5,5429.851684278977,-6.35,-7.10,-0.001309,trail
20240102,-1,5429.75,5431.101684278977,-1.35,-2.10,-0.000387,trail
20240102,-1,5435.25,5422.351684278977,12.90,12.15,0.002235,trail
20240103,-1,5392,5392.25,-0.25,-1.00,-0.000185,session_close
20240104,1,5408,5396.852295534271,-11.15,-11.90,-0.002200,trail
20240104,1,5397.75,5385.602295534271,-12.15,-12.90,-0.002389,trail
20240105,1,5400.75,5389.925743457453,-10.82,-11.57,-0.002143,trail
20240108,1,5407.25,5441.5,34.25,33.50,0.006195,session_close
20240109,1,5436,5434.334972929145,-1.67,-2.42,-0.000444,trail
20240109,1,5431,5430.834972929145,-0.17,-0.92,-0.000168,trail
20240109,1,5433.75,5434,0.25,-0.50,-0.000092,session_close
20240110,1,5460.75,5458.18921759228,-2.56,-3.31,-0.000606,trail
20240110,1,5457.75,5449.43921759228,-8.31,-9.06,-0.001660,trail
20240110,1,5460,5463.75,3.75,3.00,0.000549,session_close
20240111,-1,5444.25,5445.036113676268,-0.79,-1.54,-0.000282,trail
20240111,-1,5431.5,5444.036113676268,-12.54,-13.29,-0.002446,trail
20240111,-1,5422,5431.286113676268,-9.29,-10.04,-0.001851,trail
20240112,-1,5457.75,5454.75,3.00,2.25,0.000412,session_close
20240116,-1,5426.5,5436.851048191731,-10.35,-11.10,-0.002046,trail
20240117,-1,5394.75,5404.167779698404,-9.42,-10.17,-0.001885,trail
20240118,1,5445.75,5454.25,8.50,7.75,0.001423,session_close
20240119,1,5483.5,5513.25,29.75,29.00,0.005289,session_close
20240124,-1,5550.75,5545,5.75,5.00,0.000901,session_close
20240125,-1,5543.5,5555.444037320973,-11.94,-12.69,-0.002290,trail
20240129,1,5585.25,5593.75,8.50,7.75,0.001388,session_close
20240131,-1,5552.5,5558.9567219058745,-6.46,-7.21,-0.001298,trail
20240131,-1,5546.75,5554.7067219058745,-7.96,-8.71,-0.001570,trail
20240131,-1,5547.75,5541.4567219058745,6.29,5.54,0.000999,trail
20240201,1,5551.25,5547.143158706957,-4.11,-4.86,-0.000875,trail
20240201,1,5546,5602.5,56.50,55.75,0.010052,session_close
20240202,1,5601.75,5611.937706931961,10.19,9.44,0.001685,trail
20240202,1,5607.5,5625.937706931961,18.44,17.69,0.003154,trail
20240202,1,5623.75,5616.25,-7.50,-8.25,-0.001467,session_close
20240205,-1,5589.75,5599.367667691737,-9.62,-10.37,-0.001855,trail
