et,expiry,spot,net_gex,net_vol_gex,call_gamma,put_gamma
2026-07-29 00:00:59.924,2026-07-29,7404.44,-7.2479816e+07,-1.4411357e+08,0.005143983,0.005143983
2026-07-29 00:05:00.05,2026-07-29,7405.94,-7.248583e+07,-1.30023216e+08,0.005142326,0.005142326
2026-07-29 00:10:00.181,2026-07-29,7408.44,-7.221837e+07,-1.30105464e+08,0.0051198946,0.0051198946
2026-07-29 00:14:00.282,2026-07-29,7405.44,-7.245769e+07,-1.3025468e+08,0.005141024,0.005141024
2026-07-29 00:15:00.311,2026-07-29,7405.44,-7.2631216e+07,-1.29718784e+08,0.005153336,0.005153336
2026-07-29 00:16:00.338,2026-07-29,7404.19,-7.222096e+07,-1.29548104e+08,0.0051259575,0.0051259575
2026-07-29 00:17:00.363,2026-07-29,7403.94,-7.2020864e+07,-1.28908936e+08,0.005112101,0.005112101
2026-07-29 00:18:00.386,2026-07-29,7403.69,-7.2055e+07,-1.2897004e+08,0.0051148697,0.0051148697
2026-07-29 00:19:00.413,2026-07-29,7403.69,-7.1886424e+07,-1.28948024e+08,0.005102903,0.005102903
2026-07-29 00:20:00.438,2026-07-29,7406.19,-7.1914624e+07,-1.2899861e+08,0.0051014586,0.0051014586
2026-07-29 00:21:00.465,2026-07-29,7403.94,-7.1924856e+07,-1.28737096e+08,0.0051052864,0.0051052864
2026-07-29 00:22:00.492,2026-07-29,7404.19,-7.214283e+07,-1.2912725e+08,0.0051204124,0.0051204124
2026-07-29 00:23:00.52,2026-07-29,7406.44,-7.203111e+07,-1.2808645e+08,0.005109377,0.005109377
2026-07-29 00:24:00.545,2026-07-29,7405.94,-7.2452504e+07,-1.2883577e+08,0.005139962,0.005139962
2026-07-29 00:25:00.572,2026-07-29,7407.19,-7.269812e+07,-1.28989664e+08,0.005155646,0.005155646
2026-07-29 00:26:00.602,2026-07-29,7406.69,-7.278329e+07,-1.2772475e+08,0.0051623825,0.0051623825
2026-07-29 00:27:00.63,2026-07-29,7406.94,-7.2727984e+07,-1.2791069e+08,0.005158112,0.005158112
2026-07-29 00:28:00.661,2026-07-29,7407.19,-7.281629e+07,-1.2778267e+08,0.0051640267,0.0051640267
2026-07-29 00:29:00.689,2026-07-29,7405.19,-7.285291e+07,-1.27846936e+08,0.005169415,0.005169415
2026-07-29 00:30:00.716,2026-07-29,7405.19,-7.2898976e+07,-1.2792777e+08,0.005172683,0.005172683
2026-07-29 00:31:00.742,2026-07-29,7406.19,-7.2556056e+07,-1.27326e+08,0.0051469607,0.0051469607
2026-07-29 00:32:00.768,2026-07-29,7404.94,-7.2428056e+07,-1.2710137e+08,0.005139615,0.005139615
2026-07-29 00:33:00.796,2026-07-29,7404.94,-7.2703416e+07,-1.2786749e+08,0.0051591555,0.0051591555
2026-07-29 00:34:00.825,2026-07-29,7403.69,-7.254513e+07,-1.2758909e+08,0.005149661,0.005149661
2026-07-29 00:35:00.849,2026-07-29,7403.69,-7.2442824e+07,-1.27691056e+08,0.0051423996,0.0051423996
2026-07-29 00:36:00.876,2026-07-29,7404.94,-7.2158496e+07,-1.26909096e+08,0.0051204865,0.0051204865
2026-07-29 00:37:00.903,2026-07-29,7406.69,-7.217461e+07,-1.2637577e+08,0.00511921,0.00511921
2026-07-29 00:38:00.932,2026-07-29,7407.19,-7.241995e+07,-1.2680536e+08,0.0051359185,0.0051359185
2026-07-29 00:39:00.959,2026-07-29,7406.44,-7.256751e+07,-1.27063744e+08,0.005147426,0.005147426
2026-07-29 00:40:00.984,2026-07-29,7405.19,-7.258613e+07,-1.27378776e+08,0.005150485,0.005150485
2026-07-29 00:41:01.013,2026-07-29,7404.44,-7.2385e+07,-1.2730747e+08,0.0051372536,0.0051372536
2026-07-29 00:42:01.039,2026-07-29,7403.19,-7.22666e+07,-1.26536856e+08,0.005130583,0.005130583
2026-07-29 00:43:01.066,2026-07-29,7401.19,-7.224999e+07,-1.2510213e+08,0.0051321764,0.0051321764
2026-07-29 00:44:01.094,2026-07-29,7402.19,-7.201016e+07,-1.24126464e+08,0.005113758,0.005113758
2026-07-29 00:45:01.122,2026-07-29,7400.94,-7.163069e+07,-1.2291492e+08,0.0050885286,0.0050885286
2026-07-29 00:46:01.148,2026-07-29,7401.94,-7.164309e+07,-1.2154237e+08,0.005088035,0.005088035
2026-07-29 00:47:01.174,2026-07-29,7402.94,-7.137041e+07,-1.2580075e+08,0.0050672996,0.0050672996
2026-07-29 00:48:01.205,2026-07-29,7402.19,-7.1682304e+07,-1.2579268e+08,0.005090476,0.005090476
2026-07-29 00:49:01.236,2026-07-29,7402.19,-7.166571e+07,-1.2576356e+08,0.0050892974,0.0050892974
2026-07-29 00:50:01.265,2026-07-29,7402.19,-7.172269e+07,-1.2586355e+08,0.0050933436,0.0050933436
2026-07-29 00:51:01.292,2026-07-29,7404.94,-7.168117e+07,-1.2383829e+08,0.005086615,0.005086615
2026-07-29 00:52:01.317,2026-07-29,7407.94,-7.2301384e+07,-1.2265916e+08,0.005126472,0.005126472
2026-07-29 00:53:01.342,2026-07-29,7407.69,-7.257349e+07,-1.23120784e+08,0.0051461128,0.0051461128
2026-07-29 00:54:01.37,2026-07-29,7407.44,-7.3721856e+07,-1.23634704e+08,0.005227895,0.005227895
2026-07-29 00:55:01.4,2026-07-29,7408.19,-7.378249e+07,-1.237364e+08,0.0052311355,0.0052311355
2026-07-29 00:56:01.427,2026-07-29,7410.19,-7.379433e+07,-1.2375624e+08,0.0052291504,0.0052291504
2026-07-29 00:57:01.453,2026-07-29,7409.69,-7.398976e+07,-1.23220304e+08,0.005243707,0.005243707
2026-07-29 00:58:01.478,2026-07-29,7409.69,-7.459541e+07,-1.2422892e+08,0.0052866293,0.0052866293
2026-07-29 00:59:01.505,2026-07-29,7409.94,-7.453191e+07,-1.2325317e+08,0.0052817734,0.0052817734
2026-07-29 01:00:01.53,2026-07-29,7412.19,-7.470601e+07,-1.23250384e+08,0.0052908976,0.0052908976
2026-07-29 01:01:01.558,2026-07-29,7409.19,-7.469308e+07,-1.23229056e+08,0.0052942666,0.0052942666
2026-07-29 01:02:01.583,2026-07-29,7412.19,-7.494073e+07,-1.23637624e+08,0.0053075207,0.0053075207
2026-07-29 01:03:01.608,2026-07-29,7412.94,-7.471665e+07,-1.23558656e+08,0.00529058,0.00529058
2026-07-29 01:04:01.641,2026-07-29,7413.44,-7.500699e+07,-1.22287664e+08,0.0053104223,0.0053104223
2026-07-29 01:05:01.667,2026-07-29,7413.19,-7.545481e+07,-1.2331136e+08,0.0053424877,0.0053424877
2026-07-29 01:06:01.694,2026-07-29,7412.19,-7.5420024e+07,-1.2442836e+08,0.0053414656,0.0053414656
2026-07-29 01:07:01.721,2026-07-29,7413.94,-7.526988e+07,-1.23009144e+08,0.005328316,0.005328316
2026-07-29 01:08:01.748,2026-07-29,7416.44,-7.54216e+07,-1.2355055e+08,0.005335457,0.005335457
2026-07-29 01:09:01.772,2026-07-29,7418.19,-7.5393264e+07,-9.416824e+07,0.0053309365,0.0053309365
2026-07-29 01:10:01.799,2026-07-29,7417.69,-7.580927e+07,-9.4097896e+07,0.0053610746,0.0053610746
2026-07-29 01:11:01.826,2026-07-29,7417.69,-7.668927e+07,-8.2358904e+07,0.005423306,0.005423306
2026-07-29 01:12:01.851,2026-07-29,7419.69,-7.6900056e+07,-8.1388384e+07,0.005435281,0.005435281
2026-07-29 01:13:01.881,2026-07-29,7418.44,-7.672672e+07,-8.120493e+07,0.0054248576,0.0054248576
2026-07-29 01:14:01.906,2026-07-29,7420.69,-7.6965304e+07,-8.235587e+07,0.005438427,0.005438427
2026-07-29 01:15:01.929,2026-07-29,7421.19,-7.698977e+07,-8.328076e+07,0.005439422,0.005439422
2026-07-29 01:16:01.958,2026-07-29,7418.44,-7.6529176e+07,-8.3378096e+07,0.0054108906,0.0054108906
2026-07-29 01:17:01.984,2026-07-29,7418.69,-7.663088e+07,-8.408525e+07,0.005417716,0.005417716
