date,symbol,total_gex,spot
2026-06-30,SPY,122947959.74330655,746.77
2026-07-01,SPY,101610063.36641818,745.76
2026-07-02,SPY,174537311.45905855,744.78
2026-07-06,SPY,245391178.88025793,751.28
2026-07-07,SPY,177980452.81917843,747.71
2026-07-08,SPY,148488645647.89087,745.0550000000001
2026-07-09,SPY,1926157562.0118241,751.71
2026-07-10,SPY,8257489938.122174,754.95
2026-07-13,SPY,83955012.58117181,749.17
2026-07-14,SPY,99150781.79423803,751.83
2026-07-15,SPY,121714619.80738012,754.81
2026-07-16,SPY,106005794.30470261,750.72
2026-07-17,SPY,-225343342780.43774,742.48
