sym,tf,signal,dt,o,h,l,c,body,atr,f1,f2,f3,f5
ES,1h,bull (close==high),2017-04-17 15:00:00,3163.5,3170.75,3163.0,3170.75,0.9354838709677419,,-0.25,-0.75,-1.25,-1.75
ES,1h,bull (close==high),2017-04-18 00:00:00,3168.75,3170.0,3168.75,3170.0,1.0,,-0.25,-0.25,-3.5,-9.25
ES,1h,bull (close==high),2017-04-19 00:00:00,3164.75,3166.0,3164.5,3166.0,0.8333333333333334,3.6607142857142856,-0.75,-0.5,0.0,3.75
ES,1h,bull (close==high),2017-04-24 01:00:00,3191.5,3194.0,3191.25,3194.0,0.9090909090909091,5.035714285714286,2.5,3.0,4.75,6.25
ES,1h,bull (close==high),2017-04-24 04:00:00,3196.75,3198.75,3196.0,3198.75,0.7272727272727273,4.535714285714286,-0.25,1.5,0.75,-4.0
ES,1h,bull (close==high),2017-04-24 20:00:00,3193.75,3195.0,3193.75,3195.0,1.0,3.3035714285714284,1.25,2.5,2.75,3.75
ES,1h,bull (close==high),2017-04-25 21:00:00,3208.75,3210.5,3208.75,3210.5,1.0,2.982142857142857,0.25,0.0,0.5,-0.25
ES,1h,bull (close==high),2017-04-26 00:00:00,3210.5,3211.0,3209.5,3211.0,0.3333333333333333,2.375,0.0,-0.75,-2.5,0.5
ES,1h,bull (close==high),2017-04-26 18:00:00,3206.75,3208.5,3206.5,3208.5,0.875,4.375,0.25,1.0,0.5,0.5
ES,1h,bull (close==high),2017-04-27 12:00:00,3205.5,3213.75,3205.25,3213.75,0.9705882352941176,3.2142857142857144,-2.5,-2.25,-3.25,-3.0
ES,1h,bull (close==high),2017-04-30 19:00:00,3203.75,3204.0,3203.25,3204.0,0.3333333333333333,2.9464285714285716,0.5,3.0,2.75,3.25
ES,1h,bull (close==high),2017-05-01 01:00:00,3207.25,3208.0,3207.0,3208.0,0.75,2.3392857142857144,1.25,0.75,0.75,2.0
ES,1h,bull (close==high),2017-05-01 13:00:00,3209.75,3214.5,3209.0,3214.5,0.8636363636363636,2.607142857142857,-1.0,-3.75,-2.5,-3.0
ES,1h,bull (close==high),2017-05-01 20:00:00,3211.5,3213.25,3211.25,3213.25,0.875,3.1964285714285716,-2.75,-2.0,-2.25,-3.75
ES,1h,bull (close==high),2017-05-02 02:00:00,3209.5,3211.75,3209.5,3211.75,1.0,2.6964285714285716,-0.25,-1.75,-0.25,-0.5
ES,1h,bull (close==high),2017-05-02 07:00:00,3210.75,3211.25,3210.25,3211.25,0.5,1.8214285714285714,1.25,-3.75,-2.75,1.0
ES,1h,bull (close==high),2017-05-02 08:00:00,3211.25,3212.5,3210.75,3212.5,0.7142857142857143,1.8035714285714286,-5.0,-4.0,-2.75,-1.75
ES,1h,bull (close==high),2017-05-05 00:00:00,3205.25,3206.25,3204.25,3206.25,0.5,3.4642857142857144,0.75,1.0,3.25,5.25
ES,1h,bull (close==high),2017-05-05 13:00:00,3213.25,3214.75,3212.0,3214.75,0.5454545454545454,2.9642857142857144,1.25,6.25,9.5,7.5
ES,1h,bull (close==high),2017-05-05 15:00:00,3216.0,3221.0,3215.0,3221.0,0.8333333333333334,3.392857142857143,3.25,1.5,1.25,0.25
ES,1h,bull (close==high),2017-05-08 22:00:00,3219.25,3219.75,3218.5,3219.75,0.4,2.4285714285714284,-0.5,-0.5,-0.5,0.5
ES,1h,bull (close==high),2017-05-10 12:00:00,3219.5,3220.75,3219.25,3220.75,0.8333333333333334,2.142857142857143,-0.5,0.0,1.0,-0.5
ES,1h,bull (close==high),2017-05-11 01:00:00,3219.25,3219.5,3218.75,3219.5,0.3333333333333333,1.7321428571428572,-0.25,-1.25,-1.5,-2.5
ES,1h,bull (close==high),2017-05-11 13:00:00,3212.5,3216.0,3212.25,3216.0,0.9333333333333333,3.142857142857143,0.0,1.0,-0.25,0.0
ES,1h,bull (close==high),2017-05-12 01:00:00,3212.75,3213.5,3212.5,3213.5,0.75,2.357142857142857,-1.25,-3.0,-3.25,-2.25
ES,1h,bull (close==high),2017-05-12 06:00:00,3210.5,3211.25,3209.75,3211.25,0.5,1.6607142857142858,0.25,3.5,1.5,2.0
ES,1h,bull (close==high),2017-05-12 13:00:00,3212.0,3213.0,3211.0,3213.0,0.5,2.5714285714285716,-0.5,0.0,1.25,1.25
ES,1h,bull (close==high),2017-05-14 20:00:00,3214.25,3215.5,3213.5,3215.5,0.625,2.857142857142857,0.75,1.5,1.5,0.5
ES,1h,bull (close==high),2017-05-15 19:00:00,3223.5,3224.25,3223.0,3224.25,0.6,2.9642857142857144,-0.5,-1.5,-2.5,-1.5
ES,1h,bull (close==high),2017-05-16 00:00:00,3222.0,3222.75,3221.75,3222.75,0.75,2.2857142857142856,0.25,0.5,1.0,0.0
ES,1h,bull (close==high),2017-05-16 06:00:00,3223.0,3225.0,3222.75,3225.0,0.8888888888888888,1.625,1.75,2.5,2.25,-0.25
ES,1h,bull (close==high),2017-05-17 11:00:00,3193.0,3200.0,3191.5,3200.0,0.8235294117647058,4.660714285714286,-1.0,-8.0,-12.5,-18.5
ES,1h,bull (close==high),2017-05-21 23:00:00,3208.0,3209.75,3208.0,3209.75,1.0,3.875,-1.25,-0.25,0.0,-2.25
ES,1h,bull (close==high),2017-05-22 01:00:00,3208.75,3209.5,3208.25,3209.5,0.6,2.875,0.25,-2.25,-2.0,-3.0
ES,1h,bull (close==high),2017-05-22 11:00:00,3211.75,3215.0,3211.0,3215.0,0.8125,3.0357142857142856,1.25,1.0,1.75,4.0
ES,1h,bull (close==high),2017-05-22 22:00:00,3214.0,3216.5,3213.75,3216.5,0.9090909090909091,3.4464285714285716,-0.5,-0.5,-1.75,4.75
ES,1h,bull (close==high),2017-05-24 01:00:00,3221.0,3221.75,3220.75,3221.75,0.75,2.0,0.25,2.25,2.0,0.75
ES,1h,bull (close==high),2017-05-25 12:00:00,3236.25,3240.75,3235.5,3240.75,0.8571428571428571,3.25,-1.0,-0.25,-1.75,-3.25
ES,1h,bull (close==high),2017-05-25 23:00:00,3236.5,3237.25,3236.25,3237.25,0.75,3.25,0.25,-0.5,0.5,-0.5
ES,1h,bull (close==high),2017-05-26 16:00:00,3239.0,3240.0,3238.25,3240.0,0.5714285714285714,2.875,2.0,1.0,1.5,1.25
ES,1h,bull (close==high),2017-05-29 06:00:00,3240.25,3241.0,3239.75,3241.0,0.6,1.5357142857142858,0.25,1.0,0.75,-0.5
ES,1h,bull (close==high),2017-05-29 08:00:00,3241.0,3242.0,3241.0,3242.0,1.0,1.3392857142857142,-0.25,-2.0,-1.5,-2.25
