sym,tf,signal,n,base_rate_pct,universe,h1_mean_pt,h1_med_pt,h1_sd,h1_win_pct,h1_t,h1_base_mean_pt,h1_base_win_pct,h1_edge_pt,h2_mean_pt,h2_med_pt,h2_sd,h2_win_pct,h2_t,h2_base_mean_pt,h2_base_win_pct,h2_edge_pt,h3_mean_pt,h3_med_pt,h3_sd,h3_win_pct,h3_t,h3_base_mean_pt,h3_base_win_pct,h3_edge_pt,h5_mean_pt,h5_med_pt,h5_sd,h5_win_pct,h5_t,h5_base_mean_pt,h5_base_win_pct,h5_edge_pt,mfe1_mean_pt,mae1_mean_pt,body_lo_h1_mean_pt,body_mid_h1_mean_pt,body_hi_h1_mean_pt
ES,1h,bull (close==high),1185,2.17,54616,-0.33,0.0,5.14,45.0,-2.21,0.079,51.2,-0.409,-0.486,-0.25,8.23,45.7,-2.03,0.159,52.4,-0.644,-0.329,0.0,10.12,49.8,-1.12,0.238,53.0,-0.567,0.074,0.5,12.68,51.6,0.2,0.397,53.4,-0.322,2.73,-3.26,-0.359,-0.436,-0.194
ES,1h,bear (close==low),885,1.62,54616,-0.006,-0.25,6.94,43.2,-0.03,-0.079,45.9,0.073,0.175,-0.25,8.88,42.5,0.59,-0.159,45.6,0.334,0.138,-0.5,10.84,42.7,0.38,-0.238,45.4,0.376,0.386,-0.5,14.59,45.2,0.79,-0.397,45.5,0.783,3.62,-3.44,0.258,-0.129,-0.147
ES,4h,bull (close==high),133,0.933,14253,0.705,1.0,10.03,60.2,0.81,0.304,53.0,0.401,0.742,1.25,15.94,55.6,0.54,0.608,54.3,0.135,0.744,0.5,21.19,51.1,0.41,0.912,54.9,-0.168,-0.066,2.25,27.06,53.4,-0.03,1.523,55.3,-1.588,6.7,-7.03,0.428,0.193,1.5
ES,4h,bear (close==low),90,0.631,14253,2.417,0.125,16.87,50.0,1.36,-0.304,45.6,2.721,5.35,1.625,23.15,56.7,2.19,-0.608,44.8,5.958,3.664,-0.25,25.86,47.8,1.34,-0.912,44.4,4.576,3.369,-1.125,27.96,44.4,1.14,-1.523,44.3,4.892,11.17,-7.62,-2.5,8.642,1.108
ES,1d,bull (close==high),5,0.209,2393,0.9,3.0,14.18,60.0,0.14,1.809,55.1,-0.909,11.1,13.75,23.42,80.0,1.06,3.621,57.8,7.479,19.2,18.0,28.9,80.0,1.49,5.468,58.8,13.732,18.8,27.0,24.94,60.0,1.69,9.183,60.5,9.617,8.85,-12.85,,,
ES,1d,bear (close==low),3,0.125,2393,-4.917,-5.75,11.52,33.3,-0.74,-1.809,44.4,-3.108,0.417,0.75,56.0,66.7,0.01,-3.621,41.8,4.038,-3.167,-5.25,84.39,33.3,-0.06,-5.468,40.9,2.302,4.083,-0.75,103.09,33.3,0.07,-9.183,39.3,13.266,18.92,-21.5,,,
NQ,1h,bull (close==high),883,1.642,53773,-1.047,0.0,20.16,49.8,-1.54,0.348,52.3,-1.395,-1.531,0.5,34.35,50.6,-1.32,0.696,53.4,-2.227,-1.888,0.75,45.34,51.5,-1.24,1.043,53.7,-2.931,-0.697,2.0,53.52,54.4,-0.39,1.738,54.0,-2.435,7.91,-9.78,-0.763,-2.159,-0.22
NQ,1h,bear (close==low),713,1.326,53773,-2.089,-1.0,29.82,44.2,-1.87,-0.348,47.0,-1.741,-3.138,-2.25,36.68,42.6,-2.28,-0.696,46.1,-2.442,-4.094,-2.5,45.86,42.6,-2.38,-1.043,46.0,-3.051,-2.663,-3.0,55.7,42.2,-1.28,-1.738,45.7,-0.925,9.09,-11.31,-5.06,0.532,-1.729
NQ,4h,bull (close==high),173,1.22,14185,1.35,1.0,41.57,53.8,0.43,1.319,53.3,0.031,-2.064,2.0,58.7,56.1,-0.46,2.633,54.5,-4.697,-1.305,5.75,91.68,57.8,-0.19,3.957,55.0,-5.262,6.592,11.0,117.84,61.8,0.74,6.578,55.8,0.015,17.86,-21.82,-2.763,6.947,-0.039
NQ,4h,bear (close==low),123,0.867,14185,-2.827,-1.5,45.74,44.7,-0.69,-1.319,46.3,-1.508,2.183,-2.5,58.21,42.3,0.42,-2.633,45.3,4.816,5.439,-2.0,75.73,48.8,0.8,-3.957,44.8,9.396,8.283,-4.75,94.41,43.9,0.97,-6.578,44.0,14.86,20.29,-19.94,-9.165,-6.159,6.841
NQ,1d,bull (close==high),11,0.46,2392,18.205,1.5,104.33,54.5,0.58,7.819,55.3,10.385,20.568,-11.5,144.39,36.4,0.47,15.625,57.4,4.943,7.068,-11.5,137.86,45.5,0.17,23.608,57.7,-16.54,9.364,-12.25,210.19,36.4,0.15,40.034,59.4,-30.671,44.34,-43.75,,,
NQ,1d,bear (close==low),6,0.251,2392,-60.292,-40.375,144.98,16.7,-1.02,-7.819,44.5,-52.473,-91.708,-48.5,216.35,33.3,-1.04,-15.625,42.5,-76.084,-28.708,-52.5,153.41,16.7,-0.46,-23.608,42.2,-5.101,56.5,-61.0,303.63,33.3,0.46,-40.034,40.5,96.534,65.88,-117.83,,,
