sym,tf,thr,rule,n,net_pt,usd,avg_pt,win,pf,maxdd_pt,t
ES,1h,0.0,"Continuation, next close",2068,-1435.1,-71753,-0.6939,36.8,0.645,1464.7,-5.31
ES,1h,0.0,"Continuation, 1xATR",2068,-1331.8,-66591,-0.644,46.3,0.796,1372.3,-3.8
ES,1h,0.0,"Fade, next close",2068,-1046.6,-52328,-0.5061,39.3,0.726,1094.0,-3.87
ES,1h,0.0,"Fade, 1xATR",2068,-1518.4,-75921,-0.7342,45.9,0.771,1524.2,-4.33
ES,1h,0.01,"Continuation, next close",2167,-1612.2,-80610,-0.744,37.2,0.668,1627.3,-4.59
ES,1h,0.01,"Continuation, 1xATR",2167,-1847.8,-92392,-0.8527,46.2,0.762,1893.1,-4.43
ES,1h,0.01,"Fade, next close",2167,-988.2,-49410,-0.456,39.7,0.781,1160.2,-2.81
ES,1h,0.01,"Fade, 1xATR",2167,-1307.2,-65360,-0.6032,46.0,0.825,1492.9,-3.13
ES,1h,0.02,"Continuation, next close",2643,-1809.6,-90478,-0.6847,39.3,0.76,1835.7,-3.63
ES,1h,0.02,"Continuation, 1xATR",2643,-2480.6,-124028,-0.9385,46.8,0.783,2519.5,-4.44
ES,1h,0.02,"Fade, next close",2643,-1362.1,-68103,-0.5153,40.9,0.813,1620.3,-2.74
ES,1h,0.02,"Fade, 1xATR",2643,-1510.6,-75531,-0.5716,46.2,0.862,1652.6,-2.7
ES,1h,0.05,"Continuation, next close",5418,-3987.3,-199365,-0.7359,41.3,0.777,4021.1,-5.27
ES,1h,0.05,"Continuation, 1xATR",5418,-4644.9,-232246,-0.8573,47.3,0.827,4671.1,-5.2
ES,1h,0.05,"Fade, next close",5418,-2514.3,-125715,-0.4641,44.0,0.853,3021.1,-3.32
ES,1h,0.05,"Fade, 1xATR",5418,-4197.5,-209877,-0.7747,46.4,0.843,4389.2,-4.7
ES,1h,0.1,"Continuation, next close",11426,-7072.6,-353630,-0.619,41.9,0.806,7139.5,-6.75
ES,1h,0.1,"Continuation, 1xATR",11426,-9410.4,-470519,-0.8236,47.2,0.833,9454.6,-7.46
ES,1h,0.1,"Fade, next close",11426,-6638.6,-331930,-0.581,44.2,0.816,6858.7,-6.33
