sym,tf,dir,thr,n,rate,m1,w1,bw1,gap1,t1,m2,w2,bw2,gap2,t2,m3,w3,bw3,gap3,t3,m5,w5,bw5,gap5,t5,n_recent,gap1_recent,t1_recent
ES,1h,bull,0.0,1185,2.17,-0.3297,44.98,51.16,-6.18,-2.21,-0.4857,45.74,52.35,-6.62,-2.03,-0.3293,49.79,53.0,-3.21,-1.12,0.0745,51.56,53.35,-1.79,0.2,386,-4.28,-1.63
ES,1h,bear,0.0,885,1.62,-0.0059,43.16,45.91,-2.75,-0.03,0.1751,42.49,45.59,-3.1,0.59,0.1381,42.71,45.37,-2.65,0.38,0.3859,45.2,45.48,-0.28,0.79,284,0.99,-0.78
ES,1h,bull,0.01,1241,2.272,-0.4911,44.8,51.16,-6.36,-2.8,-0.7204,46.01,52.35,-6.34,-2.51,-0.772,49.88,53.0,-3.12,-2.12,-0.3834,51.49,53.35,-1.86,-0.9,426,-6.1,-2.78
ES,1h,bear,0.01,928,1.699,0.1107,43.86,45.91,-2.06,0.37,0.361,43.21,45.59,-2.38,0.92,0.3079,43.1,45.37,-2.26,0.63,0.4305,45.04,45.48,-0.43,0.66,311,1.65,-0.07
ES,1h,bull,0.02,1510,2.765,-0.4652,46.23,51.16,-4.93,-2.16,-0.7747,46.49,52.35,-5.86,-2.4,-0.932,50.13,53.0,-2.87,-2.19,-0.6109,51.72,53.35,-1.63,-1.23,588,-3.72,-2.33
ES,1h,bear,0.02,1135,2.078,0.2696,44.58,45.91,-1.33,0.81,0.4573,44.67,45.59,-0.92,1.07,-0.0383,43.96,45.37,-1.4,-0.06,0.0275,46.43,45.48,0.96,0.03,442,1.74,0.43
ES,1h,bull,0.05,3156,5.779,-0.2762,48.13,51.16,-3.03,-1.67,-0.2336,50.16,52.35,-2.2,-0.96,-0.0825,52.79,53.0,-0.21,-0.27,0.042,53.33,53.35,-0.02,0.11,1509,-1.47,-1.4
ES,1h,bear,0.05,2264,4.145,-0.0288,43.77,45.91,-2.14,-0.12,-0.1097,43.99,45.59,-1.6,-0.33,-0.2407,44.17,45.37,-1.2,-0.55,0.0299,45.85,45.48,0.37,0.05,1097,0.05,-0.05
ES,1h,bull,0.1,6624,12.128,-0.0397,48.91,51.16,-2.25,-0.35,0.0588,49.92,52.35,-2.43,0.37,0.0229,51.8,53.0,-1.2,0.12,-0.0159,52.11,53.35,-1.24,-0.06,3301,-0.7,0.01
ES,1h,bear,0.1,4805,8.798,0.0181,45.02,45.91,-0.9,0.11,-0.148,44.1,45.59,-1.49,-0.66,-0.2962,44.52,45.37,-0.85,-1.05,-0.3488,45.52,45.48,0.04,-0.98,2505,0.41,0.32
