candle_idx,date,pattern,c1_open,c1_close,c2_open,c2_close,c3_open,c3_close,pattern_high,pattern_low,next_high,next_low,outcome
0,2023-11-03,3-1-3 Bullish Reversal,5053.5,5072.5,5076.5,5074.25,5078.0,5091.5,5097.25,5052.25,5101.75,5069.0,Broke High
1,2023-11-06,1-3-2 Bullish Reversal,5076.5,5074.25,5078.0,5091.5,5096.25,5087.5,5101.75,5058.25,5103.5,5051.75,Broke Both
2,2023-11-07,1-1-3 Bearish Reversal,5078.0,5091.5,5096.25,5087.5,5103.0,5058.75,5103.5,5051.75,5129.5,5061.75,Broke High
3,2023-11-08,1-3-3 Bullish Reversal,5096.25,5087.5,5103.0,5058.75,5077.75,5118.5,5129.5,5051.75,5130.75,5101.25,Broke High
4,2023-11-09,3-3-1 Bullish Reversal,5103.0,5058.75,5077.75,5118.5,5109.5,5122.0,5130.75,5051.75,5218.25,5177.75,Broke High
5,2023-11-10,3-1-2 Bullish Reversal,5077.75,5118.5,5109.5,5122.0,5180.5,5208.5,5218.25,5061.75,5230.75,5204.75,Broke High
6,2023-11-13,1-3-1 Bullish Reversal,5109.5,5122.0,5180.5,5208.5,5217.75,5208.0,5230.75,5101.25,5223.5,5195.75,Broke None
7,2023-11-14,3-1-1 Bullish Reversal,5180.5,5208.5,5217.75,5208.0,5207.0,5222.5,5230.75,5177.75,5228.5,5206.75,Broke None
8,2023-11-15,2-3-1 Bullish Reversal,5217.75,5208.0,5207.0,5222.5,5216.25,5217.75,5230.75,5195.75,5265.0,5218.5,Broke High
9,2023-11-16,2-1-3 Bullish Reversal,5207.0,5222.5,5216.25,5217.75,5218.75,5255.25,5265.0,5195.75,5248.75,5230.75,Broke None
10,2023-11-17,1-3-1 Bullish Reversal,5216.25,5217.75,5218.75,5255.25,5244.0,5242.0,5265.0,5206.75,5274.5,5249.0,Broke High
11,2023-11-20,3-1-1 Bullish Reversal,5218.75,5255.25,5244.0,5242.0,5260.5,5259.75,5274.5,5218.5,5266.75,5261.5,Broke None
12,2023-11-21,3-1-1 Bullish Reversal,5244.0,5242.0,5260.5,5259.75,5264.25,5263.5,5274.5,5230.75,5265.0,5256.75,Broke None
13,2023-11-22,1-1-3 Bullish Reversal,5260.5,5259.75,5264.25,5263.5,5260.25,5262.25,5274.5,5249.0,5264.0,5249.5,Broke None
14,2023-11-23,2-3-1 Bearish Reversal,5264.25,5263.5,5260.25,5262.25,5255.5,5255.5,5266.75,5249.5,5271.25,5243.25,Broke Both
15,2023-11-24,1-1-3 Bearish Reversal,5260.25,5262.25,5255.5,5255.5,5249.25,5258.0,5271.25,5243.25,5291.0,5249.5,Broke High
16,2023-11-27,1-2-3 Bullish Reversal,5255.5,5255.5,5249.25,5258.0,5279.25,5257.0,5291.0,5243.25,5273.5,5238.75,Broke Low
17,2023-11-28,1-3-1 Bullish Reversal,5249.25,5258.0,5279.25,5257.0,5260.25,5265.75,5291.0,5238.75,5301.75,5256.5,Broke High
18,2023-11-29,2-1-3 Bullish Reversal,5279.25,5257.0,5260.25,5265.75,5262.75,5298.0,5301.75,5238.75,5273.75,5247.5,Broke None
19,2023-11-30,1-3-1 Bullish Reversal,5260.25,5265.75,5262.75,5298.0,5260.0,5266.5,5301.75,5238.75,5279.5,5252.25,Broke None
20,2023-12-01,3-1-1 Bearish Reversal,5262.75,5298.0,5260.0,5266.5,5256.0,5267.25,5301.75,5247.5,5291.25,5245.75,Broke Low
21,2023-12-04,1-1-3 Bearish Reversal,5260.0,5266.5,5256.0,5267.25,5291.25,5250.5,5291.25,5245.75,5290.25,5264.0,Broke None
22,2023-12-05,1-3-1 Bullish Reversal,5256.0,5267.25,5291.25,5250.5,5270.0,5279.75,5291.25,5245.75,5309.5,5272.5,Broke High
23,2023-12-06,3-1-2 Bullish Reversal,5291.25,5250.5,5270.0,5279.75,5275.25,5303.5,5309.5,5245.75,5323.0,5296.5,Broke High
24,2023-12-07,1-3-2 Bullish Reversal,5270.0,5279.75,5275.25,5303.5,5299.0,5320.5,5323.0,5264.0,5345.25,5305.75,Broke High
25,2023-12-08,3-1-3 Bullish Reversal,5275.25,5303.5,5299.0,5320.5,5316.25,5344.0,5345.25,5272.5,5407.75,5340.25,Broke High
26,2023-12-11,1-1-3 Bullish Reversal,5299.0,5320.5,5316.25,5344.0,5343.75,5402.0,5407.75,5296.5,5435.25,5389.75,Broke High
27,2023-12-12,2-3-1 Bullish Reversal,5316.25,5344.0,5343.75,5402.0,5422.5,5412.0,5435.25,5305.75,5423.0,5400.75,Broke None
28,2023-12-13,3-1-1 Bullish Reversal,5343.75,5402.0,5422.5,5412.0,5411.75,5413.0,5435.25,5340.25,5445.75,5423.75,Broke High
29,2023-12-14,3-1-3 Bullish Reversal,5422.5,5412.0,5411.75,5413.0,5425.5,5433.75,5445.75,5389.75,5465.0,5440.0,Broke High
30,2023-12-15,1-2-3 Bullish Reversal,5411.75,5413.0,5425.5,5433.75,5441.0,5461.75,5465.0,5400.75,5474.25,5386.75,Broke Both
31,2023-12-18,1-1-3 Bearish Reversal,5425.5,5433.75,5441.0,5461.75,5454.0,5396.75,5474.25,5386.75,5441.75,5399.0,Broke None
32,2023-12-19,1-3-1 Bearish Reversal,5441.0,5461.75,5454.0,5396.75,5424.75,5439.25,5474.25,5386.75,5465.25,5428.25,Broke None
33,2023-12-20,3-1-1 Bullish Reversal,5454.0,5396.75,5424.75,5439.25,5449.75,5442.75,5474.25,5386.75,5456.5,5443.75,Broke None
34,2023-12-21,3-1-2 Bullish Reversal,5424.75,5439.25,5449.75,5442.75,5443.75,5455.0,5465.25,5399.0,5478.0,5451.5,Broke High
35,2023-12-22,1-2-3 Bullish Reversal,5449.75,5442.75,5443.75,5455.0,5452.25,5470.5,5478.0,5428.25,5480.0,5460.0,Broke High
36,2023-12-25,1-3-1 Bullish Reversal,5443.75,5455.0,5452.25,5470.5,5465.5,5478.25,5480.0,5443.75,5483.25,5471.5,Broke High
37,2023-12-26,3-3-1 Bullish Reversal,5452.25,5470.5,5465.5,5478.25,5475.5,5477.0,5483.25,5451.5,5478.5,5440.25,Broke Low
38,2023-12-27,3-1-3 Bearish Reversal,5465.5,5478.25,5475.5,5477.0,5472.0,5456.25,5483.25,5440.25,5467.0,5459.25,Broke None
39,2023-12-28,1-3-1 Bearish Reversal,5475.5,5477.0,5472.0,5456.25,5461.5,5465.75,5483.25,5440.25,5441.0,5409.0,Broke Low
40,2023-12-29,3-1-1 Bearish Reversal,5472.0,5456.25,5461.5,5465.75,5427.0,5432.0,5478.5,5409.0,5415.25,5384.5,Broke Low
41,2024-01-01,1-1-3 Bearish Reversal,5461.5,5465.75,5427.0,5432.0,5407.75,5392.25,5467.0,5384.5,5410.0,5370.5,Broke Low
42,2024-01-02,1-3-1 Bearish Reversal,5427.0,5432.0,5407.75,5392.25,5383.0,5375.75,5441.0,5370.5,5403.75,5363.25,Broke Low
43,2024-01-03,3-1-1 Bearish Reversal,5407.75,5392.25,5383.0,5375.75,5373.75,5379.0,5415.25,5363.25,5446.75,5381.5,Broke High
44,2024-01-04,1-1-3 Bullish Reversal,5383.0,5375.75,5373.75,5379.0,5382.75,5441.5,5446.75,5363.25,5447.5,5411.0,Broke High
45,2024-01-05,1-3-1 Bullish Reversal,5373.75,5379.0,5382.75,5441.5,5416.5,5434.0,5447.5,5363.25,5472.0,5435.75,Broke High
46,2024-01-08,3-1-1 Bullish Reversal,5382.75,5441.5,5416.5,5434.0,5438.75,5463.75,5472.0,5381.5,5475.75,5416.25,Broke High
47,2024-01-09,1-3-1 Bullish Reversal,5416.5,5434.0,5438.75,5463.75,5470.5,5455.5,5475.75,5411.0,5480.0,5445.75,Broke High
48,2024-01-10,3-1-1 Bearish Reversal,5438.75,5463.75,5470.5,5455.5,5472.5,5454.75,5480.0,5416.25,5457.0,5452.5,Broke None
49,2024-01-11,3-3-1 Bullish Reversal,5470.5,5455.5,5472.5,5454.75,5455.0,5457.0,5480.0,5416.25,5459.25,5423.0,Broke None
50,2024-01-12,3-1-1 Bearish Reversal,5472.5,5454.75,5455.0,5457.0,5445.5,5442.5,5480.0,5423.0,5419.25,5389.75,Broke Low
51,2024-01-15,1-3-3 Bearish Reversal,5455.0,5457.0,5445.5,5442.5,5409.5,5412.75,5459.25,5389.75,5460.5,5413.5,Broke High
52,2024-01-16,1-1-3 Bullish Reversal,5445.5,5442.5,5409.5,5412.75,5429.5,5454.25,5460.5,5389.75,5517.75,5458.5,Broke High
53,2024-01-17,1-2-3 Bullish Reversal,5409.5,5412.75,5429.5,5454.25,5465.5,5513.25,5517.75,5389.75,5541.75,5517.0,Broke High
54,2024-01-18,2-3-1 Bullish Reversal,5429.5,5454.25,5465.5,5513.25,5529.25,5524.25,5541.75,5413.5,5545.5,5517.75,Broke High
55,2024-01-19,3-1-1 Bullish Reversal,5465.5,5513.25,5529.25,5524.25,5529.25,5544.5,5545.5,5458.5,5576.75,5532.5,Broke High
56,2024-01-22,1-2-3 Bullish Reversal,5529.25,5524.25,5529.25,5544.5,5567.0,5545.0,5576.75,5517.0,5570.0,5540.25,Broke None
57,2024-01-23,3-3-1 Bullish Reversal,5529.25,5544.5,5567.0,5545.0,5562.5,5562.5,5576.75,5517.75,5577.75,5551.0,Broke High
58,2024-01-24,3-1-1 Bullish Reversal,5567.0,5545.0,5562.5,5562.5,5561.75,5556.25,5577.75,5532.5,5599.5,5556.25,Broke High
59,2024-01-25,1-1-3 Bullish Reversal,5562.5,5562.5,5561.75,5556.25,5562.5,5593.75,5599.5,5540.25,5600.75,5576.5,Broke High
60,2024-01-26,1-3-1 Bullish Reversal,5561.75,5556.25,5562.5,5593.75,5589.75,5577.0,5600.75,5551.0,5574.0,5509.5,Broke Low
61,2024-01-29,2-1-3 Bearish Reversal,5562.5,5593.75,5589.75,5577.0,5569.5,5515.25,5600.75,5509.5,5607.25,5518.0,Broke High
62,2024-01-30,1-2-3 Bullish Reversal,5589.75,5577.0,5569.5,5515.25,5526.75,5602.5,5607.25,5509.5,5641.25,5572.5,Broke High
63,2024-01-31,2-3-1 Bullish Reversal,5569.5,5515.25,5526.75,5602.5,5576.5,5616.25,5641.25,5509.5,5621.0,5581.25,Broke None
64,2024-02-01,3-2-1 Bullish Reversal,5526.75,5602.5,5576.5,5616.25,5616.5,5603.75,5641.25,5518.0,5621.75,5598.5,Broke None
65,2024-02-02,3-1-1 Bearish Reversal,5576.5,5616.25,5616.5,5603.75,5613.5,5615.75,5641.25,5572.5,5663.5,5631.5,Broke High
66,2024-02-05,3-1-3 Bullish Reversal,5616.5,5603.75,5613.5,5615.75,5641.0,5659.0,5663.5,5581.25,5663.5,5648.5,Broke None
67,2024-02-06,1-3-1 Bullish Reversal,5613.5,5615.75,5641.0,5659.0,5656.75,5658.0,5663.5,5598.5,5692.0,5659.75,Broke High
68,2024-02-07,3-1-3 Bullish Reversal,5641.0,5659.0,5656.75,5658.0,5663.5,5685.5,5692.0,5631.5,5710.0,5675.0,Broke High
69,2024-02-08,1-3-1 Bullish Reversal,5656.75,5658.0,5663.5,5685.5,5686.5,5679.25,5710.0,5648.5,5631.75,5580.0,Broke Low
70,2024-02-09,3-1-1 Bearish Reversal,5663.5,5685.5,5686.5,5679.25,5618.5,5616.75,5710.0,5580.0,5666.0,5616.25,Broke None
71,2024-02-12,1-1-3 Bearish Reversal,5686.5,5679.25,5618.5,5616.75,5640.75,5661.0,5710.0,5580.0,5695.25,5657.25,Broke None
72,2024-02-13,1-2-3 Bullish Reversal,5618.5,5616.75,5640.75,5661.0,5662.5,5694.0,5695.25,5580.0,5698.0,5656.25,Broke High
73,2024-02-14,1-3-3 Bearish Reversal,5640.75,5661.0,5662.5,5694.0,5686.5,5658.0,5698.0,5616.25,5672.25,5666.5,Broke None
74,2024-02-15,3-3-1 Bearish Reversal,5662.5,5694.0,5686.5,5658.0,5669.25,5668.0,5698.0,5656.25,5652.75,5611.75,Broke Low
75,2024-02-16,3-1-2 Bearish Reversal,5686.5,5658.0,5669.25,5668.0,5645.25,5633.0,5698.0,5611.75,5664.0,5602.5,Broke Low
76,2024-02-19,1-1-3 Bearish Reversal,5669.25,5668.0,5645.25,5633.0,5621.5,5662.25,5672.25,5602.5,5751.25,5695.75,Broke High
77,2024-02-20,1-3-2 Bullish Reversal,5645.25,5633.0,5621.5,5662.25,5705.75,5736.75,5751.25,5602.5,5767.0,5736.0,Broke High
78,2024-02-21,3-2-1 Bullish Reversal,5621.5,5662.25,5705.75,5736.75,5757.75,5738.25,5767.0,5602.5,5751.5,5719.75,Broke None
79,2024-02-22,3-1-2 Bearish Reversal,5705.75,5736.75,5757.75,5738.25,5747.25,5721.0,5767.0,5695.75,5736.5,5710.5,Broke None
80,2024-02-23,3-3-1 Bearish Reversal,5757.75,5738.25,5747.25,5721.0,5730.0,5733.75,5767.0,5710.5,5731.25,5710.25,Broke Low
81,2024-02-26,3-1-1 Bearish Reversal,5747.25,5721.0,5730.0,5733.75,5715.75,5713.0,5751.5,5710.25,5758.0,5713.5,Broke High
82,2024-02-27,3-1-1 Bullish Reversal,5730.0,5733.75,5715.75,5713.0,5741.5,5744.25,5758.0,5710.25,5792.75,5744.75,Broke High
