Date,Type,Action,Symbol,Quantity,Average Price,Commissions
06/22/2026 09:41:00,Trade,BUY_TO_OPEN,/ESU6,2,6302.25,2.50
06/22/2026 10:18:00,Trade,SELL_TO_CLOSE,/ESU6,2,6309.75,2.50
06/22/2026 11:02:00,Trade,SELL_TO_OPEN,/ESU6,1,6311.50,2.50
06/22/2026 11:44:00,Trade,BUY_TO_CLOSE,/ESU6,1,6314.25,2.50
06/22/2026 13:30:00,Trade,BUY_TO_OPEN,/ESU6,2,6307.00,2.50
06/22/2026 14:52:00,Trade,SELL_TO_CLOSE,/ESU6,2,6313.50,2.50
06/23/2026 09:36:00,Trade,SELL_TO_OPEN,/ESU6,2,6318.75,2.50
06/23/2026 10:05:00,Trade,BUY_TO_CLOSE,/ESU6,2,6311.00,2.50
06/23/2026 10:47:00,Trade,BUY_TO_OPEN,/ESU6,1,6312.25,2.50
06/23/2026 11:29:00,Trade,SELL_TO_CLOSE,/ESU6,1,6308.50,2.50
06/23/2026 14:10:00,Trade,BUY_TO_OPEN,/ESU6,2,6314.00,2.50
06/23/2026 15:31:00,Trade,SELL_TO_CLOSE,/ESU6,2,6321.25,2.50
06/24/2026 09:33:00,Trade,BUY_TO_OPEN,/ESU6,1,6325.50,2.50
06/24/2026 09:58:00,Trade,SELL_TO_CLOSE,/ESU6,1,6319.75,2.50
06/24/2026 10:41:00,Trade,BUY_TO_OPEN,/ESU6,1,6321.00,2.50
06/24/2026 11:15:00,Trade,SELL_TO_CLOSE,/ESU6,1,6316.25,2.50
06/24/2026 13:22:00,Trade,SELL_TO_OPEN,/ESU6,2,6318.00,2.50
06/24/2026 14:04:00,Trade,BUY_TO_CLOSE,/ESU6,2,6322.75,2.50
06/25/2026 09:44:00,Trade,BUY_TO_OPEN,/ESU6,2,6310.25,2.50
06/25/2026 10:36:00,Trade,SELL_TO_CLOSE,/ESU6,2,6322.00,2.50
06/25/2026 11:20:00,Trade,BUY_TO_OPEN,/ESU6,2,6324.50,2.50
06/25/2026 12:48:00,Trade,SELL_TO_CLOSE,/ESU6,2,6331.75,2.50
06/25/2026 14:15:00,Trade,BUY_TO_OPEN,/ESU6,1,6329.00,2.50
06/25/2026 15:22:00,Trade,SELL_TO_CLOSE,/ESU6,1,6333.25,2.50
06/26/2026 09:38:00,Trade,SELL_TO_OPEN,/ESU6,2,6335.00,2.50
06/26/2026 10:26:00,Trade,BUY_TO_CLOSE,/ESU6,2,6338.75,2.50
06/26/2026 11:49:00,Trade,BUY_TO_OPEN,/ESU6,1,6340.25,2.50
06/26/2026 13:12:00,Trade,SELL_TO_CLOSE,/ESU6,1,6336.00,2.50
06/29/2026 09:35:00,Trade,BUY_TO_OPEN,/ESU6,3,6342.50,2.50
06/29/2026 10:52:00,Trade,SELL_TO_CLOSE,/ESU6,3,6353.25,2.50
06/29/2026 11:40:00,Trade,BUY_TO_OPEN,/ESU6,2,6351.00,2.50
06/29/2026 12:33:00,Trade,SELL_TO_CLOSE,/ESU6,2,6356.75,2.50
06/29/2026 14:20:00,Trade,SELL_TO_OPEN,/ESU6,1,6358.00,2.50
06/29/2026 15:11:00,Trade,BUY_TO_CLOSE,/ESU6,1,6354.25,2.50
06/30/2026 09:42:00,Trade,BUY_TO_OPEN,/ESU6,2,6349.75,2.50
06/30/2026 10:14:00,Trade,SELL_TO_CLOSE,/ESU6,2,6343.00,2.50
