Date,Period,Ticker,Close,EM,Up,Down
"5/30/2026","weekly","ESM","7,590.75","94.92","7,685.75","7,495.75"
"5/30/2026","weekly","NQM","30,389.50","639.833","31,029.25","29,749.75"
"5/30/2026","weekly","SPY","756.48","0.00","756.48","756.48"
"5/30/2026","weekly","QQQ","737.65","0.00","737.65","737.65"
"5/30/2026","weekly","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","weekly","AAPL","311.35","0.00","311.35","311.35"
"5/30/2026","weekly","AMD","515.13","44.64","559.77","470.49"
"5/30/2026","weekly","AMZN","270.48","0.00","270.48","270.48"
"5/30/2026","weekly","GOOGL","380.57","0.00","380.57","380.57"
"5/30/2026","weekly","META","632.43","0.00","632.43","632.43"
"5/30/2026","weekly","MSFT","449.99","0.00","449.99","449.99"
"5/30/2026","weekly","NVDA","212.49","0.00","212.49","212.49"
"5/30/2026","weekly","TSLA","434.35","19.815","454.16","414.54"
"5/30/2026","weekly","COIN","188.30","14.027","202.33","174.27"
"5/30/2026","weekly","HOOD","94.01","7.838","101.85","86.17"
"5/30/2026","weekly","IWM","290.43","6.476","296.91","283.95"
"5/30/2026","weekly","NDX","30,333.18","639.833","30,973.01","29,693.35"
"5/30/2026","weekly","NFLX","86.01","2.973","88.98","83.04"
"5/30/2026","weekly","SMH","599.59","34.107","633.70","565.48"
"5/30/2026","weekly","PLTR","156.38","9.983","166.36","146.40"
"5/30/2026","weekly","ESM","7,590.75","94.92","7,685.75","7,495.75"
"5/30/2026","weekly","NQM","30,389.50","639.833","31,029.25","29,749.75"
"5/30/2026","weekly","SPY","756.48","0.00","756.48","756.48"
"5/30/2026","weekly","QQQ","737.65","0.00","737.65","737.65"
"5/30/2026","weekly","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","weekly","AAPL","311.35","0.00","311.35","311.35"
"5/30/2026","weekly","AMD","515.13","44.64","559.77","470.49"
"5/30/2026","weekly","AMZN","270.48","0.00","270.48","270.48"
"5/30/2026","weekly","GOOGL","380.57","0.00","380.57","380.57"
"5/30/2026","weekly","META","632.43","0.00","632.43","632.43"
"5/30/2026","weekly","MSFT","449.99","0.00","449.99","449.99"
"5/30/2026","weekly","NVDA","212.49","0.00","212.49","212.49"
"5/30/2026","weekly","TSLA","434.35","19.815","454.16","414.54"
"5/30/2026","weekly","COIN","188.30","14.027","202.33","174.27"
"5/30/2026","weekly","HOOD","94.01","7.838","101.85","86.17"
"5/30/2026","weekly","IWM","290.43","6.476","296.91","283.95"
"5/30/2026","weekly","NDX","30,333.18","639.833","30,973.01","29,693.35"
"5/30/2026","weekly","NFLX","86.01","2.973","88.98","83.04"
"5/30/2026","weekly","SMH","599.59","34.107","633.70","565.48"
"5/30/2026","weekly","PLTR","156.38","9.983","166.36","146.40"
"5/30/2026","daily","ESM","7,590.75","94.92","7,685.75","7,495.75"
"5/30/2026","daily","NQM","30,389.50","639.833","31,029.25","29,749.75"
"5/30/2026","daily","SPY","756.48","0.00","756.48","756.48"
"5/30/2026","daily","QQQ","737.65","0.00","737.65","737.65"
"5/30/2026","daily","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","daily","AAPL","311.35","0.00","311.35","311.35"
"5/30/2026","daily","AMD","515.13","44.64","559.77","470.49"
"5/30/2026","daily","AMZN","270.48","0.00","270.48","270.48"
"5/30/2026","daily","GOOGL","380.57","0.00","380.57","380.57"
"5/30/2026","daily","META","632.43","0.00","632.43","632.43"
"5/30/2026","daily","MSFT","449.99","0.00","449.99","449.99"
"5/30/2026","daily","NVDA","212.49","0.00","212.49","212.49"
"5/30/2026","daily","TSLA","434.35","19.815","454.16","414.54"
"5/30/2026","daily","COIN","188.30","14.027","202.33","174.27"
"5/30/2026","daily","HOOD","94.01","7.838","101.85","86.17"
"5/30/2026","daily","IWM","290.43","6.476","296.91","283.95"
"5/30/2026","daily","NDX","30,333.18","639.833","30,973.01","29,693.35"
"5/30/2026","daily","NFLX","86.01","2.973","88.98","83.04"
"5/30/2026","daily","SMH","599.59","34.107","633.70","565.48"
"5/30/2026","daily","PLTR","156.38","9.983","166.36","146.40"
"5/30/2026","weekly","ESM","1.00","95.00","96.00","-94.00"
"5/30/2026","weekly","NQM","30,389.50","639.75","31,029.25","29,749.75"
"5/30/2026","weekly","SPY","756.48","9.57","766.05","746.91"
"5/30/2026","weekly","QQQ","737.65","15.84","753.49","721.81"
"5/30/2026","weekly","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","weekly","AAPL","311.35","6.98","318.33","304.37"
"5/30/2026","weekly","AMD","515.13","44.64","559.77","470.49"
"5/30/2026","weekly","AMZN","270.48","8.92","279.40","261.56"
"5/30/2026","weekly","GOOGL","380.57","12.48","393.05","368.09"
"5/30/2026","weekly","META","632.43","23.42","655.85","609.01"
"5/30/2026","weekly","MSFT","449.99","17.87","467.86","432.12"
"5/30/2026","weekly","NVDA","212.49","10.80","223.29","201.69"
"5/30/2026","weekly","TSLA","434.35","19.81","454.16","414.54"
"5/30/2026","weekly","COIN","188.30","14.03","202.33","174.27"
"5/30/2026","weekly","HOOD","94.01","7.84","101.85","86.17"
"5/30/2026","weekly","IWM","290.43","6.48","296.91","283.95"
"5/30/2026","weekly","NDX","30,333.18","639.83","30,973.01","29,693.35"
"5/30/2026","weekly","NFLX","86.01","2.97","88.98","83.04"
"5/30/2026","weekly","SMH","599.59","34.11","633.70","565.48"
"5/30/2026","weekly","PLTR","156.38","9.98","166.36","146.40"
"5/30/2026","weekly","ESM","1.00","95.00","96.00","-94.00"
"5/30/2026","weekly","NQM","30,389.50","639.75","31,029.25","29,749.75"
"5/30/2026","weekly","SPY","756.48","9.57","766.05","746.91"
"5/30/2026","weekly","QQQ","737.65","15.84","753.49","721.81"
"5/30/2026","weekly","SPX","7,580.06","94.92","7,674.98","7,485.14"
"5/30/2026","weekly","AAPL","311.35","6.98","318.33","304.37"
